eng,fr,id,llm alignment result,group
"""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""","-- Alors, ma chere, vous aurez l'avantage sur votre amie, en lui presentant vous-meme M. Bingley.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teazing?""","-- C'est impossible, M. Bennet, impossible ! comment pouvez-vous parler ainsi ?","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""I honour your circumspection. A fortnight's acquaintance is certainly very little.","-- J'admire votre circonspection, une relation qui ne date que de quinze jours est certainement tres-peu approfondie ;","[52, 54, 67, 68, 71, 72, 76]",aligned,5
One cannot know what a man really is by the end of a fortnight.,on ne peut pas bien connoitre un homme au bout de si peu de temps ;,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"But if _we_ do not venture, somebody else will;","mais si vous ne hasardez rien, d'autres le feront.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"and after all, Mrs. Long and her nieces must stand their chance;","Apres tout, Mistriss Long et ses nieces desirant tenter l'aventure,","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"and therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.""","ce sera un acte de generosite de votre part de leur en presenter l'occasion. Si vous refusiez de leur rendre ce bon office, je m'en chargerois.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
The girls stared at their father.,Les jeunes filles regardoient leur pere avec etonnement ;,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"Mrs. Bennet said only, ""Nonsense, nonsense!""",Mistriss Bennet se contenta de dire : Quelle absurdite !,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""What can be the meaning of that emphatic exclamation?"" cried he.","-- Que signifie cette expression emphatique, s'ecria-t-il ?","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?""","Pensez-vous que la formalite d'une presentation, et l'importance qu'on y attache soient des absurdites ?","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""for you are a young lady of deep reflection I know, and read great books, and make extracts.""","'Je sais que vous etes une jeune personne qui a profondement reflechi, qui a lu des livres tres-serieux et fait beaucoup d'extraits.'","[78, 83]",aligned,6
"""Mary wished to say something very sensible, but knew not how.""","'Mary auroit bien desire repondre quelque chose de tres-judicieux, mais elle n'etoit pas preparee,'","[78, 83]",aligned,6
"""""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr. ~~~ Bingley.""""","'et pendant qu'elle arrangeoit ses phrases, son pere ajouta : Revenons a M. Bingley.'","[78, 83]",aligned,6
"""""I am sick of Mr. Bingley,"" cried his wife.'","'-- Je ne puis souffrir d'entendre parler de M. Bingley, cela me rend malade.'","[78, 83]",aligned,6
"""""I am sorry to hear _that_; but why did not you tell me so before?""'",'-- Je suis fache d'apprendre cela. Pourquoi ne me l'avez-vous pas dit plutot ?',"[78, 83]",aligned,6
"'If I had known as much this morning, I certainly would not have called on him.'","'Si je l'avois su ce matin, je n'aurois surement pas ete me presenter chez lui.'","[78, 83]",aligned,6
"The astonishment of the ladies was just what he wished; that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.","L'etonnement de ces dames fut aussi grand que pouvoit le desirer M. Bennet ; celui de sa femme surtout, quoiqu'elle assurat, une fois le premier elan de sa joie passee, qu'elle s'y attendoit des le premier jour.","[85, 87, 89, 90, 92]",aligned,7
"""How good it was in you, my dear Mr. Bennet!","Combien c'est aimable de votre part, mon cher Monsieur Bennet !","[85, 87, 89, 90, 92]",aligned,7
But I knew I should persuade you at last. I was sure you loved your girls too well to neglect such an acquaintance.,Je savois bien que je finirois par vous persuader ; j'etois sure que vous aimiez trop vos filles pour negliger de faire une telle connoissance !,"[85, 87, 89, 90, 92]",aligned,7
"Well, how pleased I am! and it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.""","C'est cependant une singuliere idee ; y etre alle ce matin, et ne nous en avoir rien dit jusqu'a present.","[85, 87, 89, 90, 92]",aligned,7
"""Now, Kitty, you may cough as much as you chuse,"" said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.","Maintenant Kitty vous pouvez tousser tant qu'il vous plaira. ~~~ En disant ces mots, Monsieur Bennet, fatigue des transports de sa femme, sortit.","[85, 87, 89, 90, 92]",aligned,7
"""What an excellent father you have, girls,"" said she, when the door was shut.","-- Quel excellent pere vous avez, mes enfans, dit Mistriss Bennet, des qu'il eut ferme la porte.","[85, 87, 89, 90, 92]",aligned,7
"""I do not know how you will ever make him amends for his kindness; or me either, for that matter. At our time of life, it is not so pleasant I can tell you, to be making new acquaintance every day; but for your sakes, we would do any thing.'","Je ne sais comment vous pourrez lui temoigner, ainsi qu'a moi, toute votre reconnaissance ! Car je puis vous assurer qu'il n'est pas agreable a notre age de faire chaque jour de nouvelles connoissances ; mais il n'y a rien que nous ne fassions pour vous.","[85, 87, 89, 90, 92]",aligned,7
CHAPTER III.,CHAPITRE III.,"[97, 105]",aligned,8
"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject was sufficient to draw from her husband any satisfactory description of Mr. Bingley.","Toutes les questions que Mistriss Bennet, aidee de ses cinq filles, adressa a son mari, ne purent leur faire obtenir une description detaillee de M. Bingley ;","[97, 105]",aligned,8
"They attacked him in various ways; with barefaced questions, ingenious suppositions, and distant surmises;","on l'attaqua de mille manieres, par d'ingenieuses suppositions, des soupcons imaginaires, des questions indirectes ;","[97, 105]",aligned,8
but he eluded the skill of them all;,"il eludoit tout, et trompa l'adresse de chacune.","[97, 105]",aligned,8
and they were at last obliged to accept the second-hand intelligence of their neighbour Lady Lucas.,"Elles furent enfin obligees de s'en rapporter aux recits de leur voisine, Lady Lucas ;","[97, 105]",aligned,8
Her report was highly favourable.,sir Williams avoit ete enchante de M. Bingley ;,"[97, 105]",aligned,8
Sir William had been delighted with him.,sir Williams avoit ete enchante de M. Bingley ;,"[97, 105]",aligned,8
"He was quite young, wonderfully handsome, extremely agreeable, and to crown the whole, he meant to be at the next assembly with a large party.","il etoit jeune, beau, fort aimable, et pour comble de perfections, il avoit l'intention d'aller a la prochaine assemblee avec plusieurs personnes de sa societe.","[97, 105]",aligned,8
Nothing could be more delightful!,On ne pouvoit etre plus delicieux !,"[97, 105]",aligned,8
To be fond of dancing was a certain step towards falling in love;,"Il aimoit passionnement la danse, il deviendroit donc amoureux.","[97, 105]",aligned,8
and very lively hopes of Mr. Bingley's heart were entertained.,Quel vaste champ d'esperances !,"[97, 105]",aligned,8
"""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for.""","Si je puis voir une de mes filles heureusement etablie a Metterfield, disoit Mistriss Bennet a son mari, et toutes les autres aussi bien mariees, je n'aurai plus rien a desirer.","[97, 105]",aligned,8
"Mr. Bingley was good looking and gentleman-like; he had a pleasant countenance, and easy, unaffected manners.","M. Bingley avoit l'air d'un homme comme il faut, ses manieres etoient pleines de grace et de naturel.","[114, 118, 119, 122]",aligned,9
"His sisters were fine women, with an air of decided fashion.","Ses soeurs pouvoient passer pour de belles femmes, mais elles avoient le genre affecte et recherche des femmes qu'on nomme a la mode ;","[114, 118, 119, 122]",aligned,9
"His brother-in-law, Mr. Hurst, merely looked the gentleman;","son beau frere, M. Hurst paroissoit un bon gentilhomme,","[114, 118, 119, 122]",aligned,9
"but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien;","mais M. Darcy, son ami, attira bientot l'attention de toute l'assemblee par la beaute de ses traits, l'elegance de sa taille, la noblesse de son maintien,","[114, 118, 119, 122]",aligned,9
"and the report which was in general circulation within five minutes after his entrance, of his having ten thousand a year.","et l'avantage de jouir de dix mille livres de rente ; circonstance qui fut connue et circula tout autour de la salle, en cinq minutes.","[114, 118, 119, 122]",aligned,9
"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley,","Les hommes avouerent qu'il etoit bien fait, et les femmes declarerent qu'il etoit beaucoup plus beau que M. Bingley.","[114, 118, 119, 122]",aligned,9
"and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity;","On le regarda avec admiration, pendant la moitie de la soiree, jusqu'a ce qu'enfin ses manieres, qui deplaisoient generalement, arreterent le cours de ses succes.","[114, 118, 119, 122]",aligned,9
"for he was discovered to be proud, to be above his company, and above being pleased;","On decouvrit qu'il etoit fier, que rien ne lui convenoit, qu'il se croyoit fort au dessus des autres ;","[114, 118, 119, 122]",aligned,9
"and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.","alors toute sa grande fortune ne put le sauver ; on prononca qu'il avoit un abord repoussant, un ton desagreable, et qu'il etoit indigne d'etre compare a son ami.","[114, 118, 119, 122]",aligned,9
"Mr. Bingley had soon made himself acquainted with all the principal people in the room; he was lively and unreserved,",M. Bingley eut bientot fait connoissance avec les principales personnes qui se trouvoient a l'assemblee ; il etoit gai et prevenant ;,"[114, 118, 119, 122]",aligned,9
"danced every dance, was angry that the ball closed so early, and talked of giving one himself at Netherfield.","il dansa toujours, et fut tres-fache que le bal finit sitot. Il parla meme d'en donner un a Metterfield.","[114, 118, 119, 122]",aligned,9
Such amiable qualities must speak for themselves.,D'aussi aimables qualites previennent toujours en faveur de celui qui les possede.,"[114, 118, 119, 122]",aligned,9
What a contrast between him and his friend!,Quel contraste avec son ami !,"[114, 118, 119, 122]",aligned,9
"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation between him and Mr. Bingley, who came from the dance for a few minutes, to press his friend to join it.","'Elisabeth Bennet avoit ete forcee, par la disette de danseurs, de se reposer ; elle se trouva assez pres de M. Darcy pour entendre sa conversation avec M. Bingley qui venoit de quitter sa place pour se rapprocher de son ami.","[127, 130, 131, 133, 135]",aligned,10
"""Come, Darcy,"" said he, ""I must have you dance. I hate to see you standing about by yourself in this stupid manner.","-- Venez, Darcy, lui disoit-il, je n'aime pas a vous voir seul, vous ferez beaucoup mieux de danser.","[127, 130, 131, 133, 135]",aligned,10
"You had much better dance.""",(No direct equivalent in text),"[127, 130, 131, 133, 135]",not aligned,10
"""I certainly shall not. You know how I detest it, unless I am particularly acquainted with my partner. At such an assembly as this, it would be insupportable.","-- C'est ce que je ne ferai surement pas ; vous savez que je deteste la danse, a moins que je ne connoisse beaucoup mon partner, dans une assemblee comme celle-ci ce seroit au-dessus de mes forces ;","[127, 130, 131, 133, 135]",aligned,10
"Your sisters are engaged, and there is not another woman in the room, whom it would not be a punishment to me to stand up with.""","vos soeurs sont engagees, et il n'y a pas une personne dans la salle avec laquelle il ne me fut insupportable de danser.","[127, 130, 131, 133, 135]",aligned,10
"""I would not be so fastidious as you are,"" cried Bingley, ""for a kingdom! Upon my honour, I never met with so many pleasant girls in my life, as I have this evening; and there are several of them you see uncommonly pretty.""","-- Ma foi ! je ne serois pas si difficile que vous, s'ecria Bingley, je n'ai jamais vu tant de jolies personnes rassemblees, il y en a meme qui sont des beautes remarquables.","[127, 130, 131, 133, 135]",aligned,10
"""_You_ are dancing with the only handsome girl in the room,"" said Mr. Darcy, looking at the eldest Miss Bennet.","-- Vous dansez avec la seule belle personne qu'il y ait dans toute la salle, dit M. Darcy, en regardant l'ainee des Miss Bennet.","[127, 130, 131, 133, 135]",aligned,10
"""Oh! she is the most beautiful creature I ever beheld!","-- C'est la plus belle creature que j'aie jamais vue,","[127, 130, 131, 133, 135]",aligned,10
"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say, very agreeable. Do let me ask my partner to introduce you.""","mais il y a une de ses soeurs (elle est justement assise derriere vous), qui est tres-agreable, je puis meme dire tres-jolie. Permettez-moi de prier ma danseuse de vous presenter a elle.","[127, 130, 131, 133, 135]",aligned,10
"""Which do you mean?"" and turning round, he looked for a moment at Elizabeth, till catching her eye, he withdrew his own and coldly said, ""She is tolerable; but not handsome enough to tempt _me_; and I am in no humour at present to give consequence to young ladies who are slighted by other men.'",">> -- Laquelle dites-vous ; puis se tournant, il regarda Elisabeth, jusqu'a ce que rencontrant ses yeux, il detourna les siens, et dit froidement : Elle est passable, mais point assez belle pour me tenter ; d'ailleurs, je ne suis pas d'humeur dans ce moment a consoler les jeunes dames que les autres hommes dedaignent.","[127, 130, 131, 133, 135]",aligned,10
"""Oh! my dear Mr. Bennet,"" as she entered the room, ""we have had a most delightful evening, a most excellent ball.","'-- Oh ! mon cher Monsieur Bennet, dit Mistriss Bennet, en entrant dans la chambre, nous avons eu une soiree delicieuse, un bal charmant,","[145, 148, 155]",aligned,11
I wish you had been there.,j'aurois voulu que vous y fussiez alle ;,"[145, 148, 155]",aligned,11
"Jane was so admired, nothing could be like it.",Jane a ete plus admiree qu'on ne peut le dire ;,"[145, 148, 155]",aligned,11
"Every body said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice.",chacun s'extasioit sur sa figure et M. Bingley l'a trouvee extremement belle ; il a danse deux fois avec elle !,"[145, 148, 155]",aligned,11
Only think of _that_ my dear; he actually danced with her twice; and she was the only creature in the room that he asked a second time.,pensez a cela mon cher ! il a danse deux fois avec elle ; elle est la seule de l'assemblee qu'il ait engagee une seconde fois.,"[145, 148, 155]",aligned,11
"First of all, he asked Miss Lucas.","D'abord, il a engage Miss Lucas ;","[145, 148, 155]",aligned,11
"I was so vexed to see him stand up with her; but, however, he did not admire her at all: indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance.","j'etois un peu fachee de le voir aupres d'elle, cependant il ne l'admiroit point, vous savez qu'elle n'est pas remarquable ; en voyant Jane, il a paru frappe d'etonnement ;","[145, 148, 155]",aligned,11
"So, he enquired who she was, and got introduced, and asked her for the two next.","il a demande qui elle etoit, s'est fait presenter et l'a engagee pour les deux contredanses suivantes ;","[145, 148, 155]",aligned,11
"Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the Boulanger----""","ensuite il a danse les deux troisiemes avec Miss King, les deux quatriemes avec Mary Lucas, les deux cinquiemes avec Jane encore, et les deux sixiemes, ainsi que la boulangere,","[145, 148, 155]",aligned,11
"""If he had had any compassion for _me_,"" cried her husband impatiently, ""he would not have danced half so much!","-- S'il avoit eu pitie de moi, s'ecria M. Bennet avec impatience, il n'auroit pas tant danse ;","[145, 148, 155]",aligned,11
"For God's sake, say no more of his partners.",pour l'amour de Dieu ne me parlez plus de ses partners.,"[145, 148, 155]",aligned,11
"Oh! that he had sprained his ancle in the first dance!""",Que ne s'est-il foule le pied des le commencement du bal. -- Oh !',"[145, 148, 155]",aligned,11
"""Oh!'",(No direct equivalent in text),"[145, 148, 155]",not aligned,11
"He walked here, and he walked there, fancying himself so very great!","Il se promenoit en long et en large, s'imaginant etre fort au-dessus des autres...","[163, 166]",aligned,12
Not handsome enough to dance with!,pas assez belle pour danser avec lui ?,"[163, 166]",aligned,12
"I wish you had been there, my dear, to have given him one of your set downs. I quite detest the man.","J'aurois voulu que vous fussiez la, mon cher.","[163, 166]",aligned,12
CHAPTER IV.,* * * CHAPITRE IV.,"[163, 166]",aligned,12
"""He is just what a young man ought to be,"" said she, ""sensible, good humoured, lively; and I never saw such happy manners!--so much ease, with such perfect good breeding!""","'-- Il est precisement ce que doit etre un jeune homme, disoit-elle, bon, gai, aimable, je n'ai jamais vu des manieres plus prevenantes, ni autant d'aisance avec un air si comme il faut.'","[168, 170, 172, 174]",aligned,13
"""He is also handsome,"" replied Elizabeth, ""which a young man ought likewise to be, if he possibly can. His character is thereby complete.""","'-- Ajoutez qu'il est beau, repondit Elisabeth, un jeune homme doit l'etre aussi (s'il le peut) ; pour que son portrait soit parfait.'","[168, 170, 172, 174]",aligned,13
"""I was very much flattered by his asking me to dance a second time. I did not expect such a compliment.""",'-- J'ai ete tres-flattee qu'il m'ait engagee a danser une seconde fois ; je ne m'attendois pas a cette distinction de sa part.',"[168, 170, 172, 174]",aligned,13
"""Did not you? _I_ did for you. But that is one great difference between us. Compliments always take _you_ by surprise, and _me_ never.""","'-- Vraiment, moi j'y comptois pour vous ; mais il y a une grande difference entre nous ; les complimens qui vous sont adresses ne me surprennent jamais, et vous toujours.'","[168, 170, 172, 174]",aligned,13
"""What could be more natural than his asking you again? He could not help seeing that you were about five times as pretty as every other woman in the room. No thanks to his gallantry for that.""","'Qu'y avoit-il de plus naturel qu'il vous engageat une seconde fois ? Il ne pouvoit s'empecher de voir que vous etiez deux fois plus jolie que toutes les autres femmes du bal, ainsi vous ne lui devez pas de reconnoissance.'","[168, 170, 172, 174]",aligned,13
"""Well, he certainly is very agreeable, and I give you leave to like him. You have liked many a stupider person.""","'Il est certainement tres-aimable, et je vous permets bien d'en etre enchantee, vous avez aime des gens bien moins agreables que lui.'","[168, 170, 172, 174]",aligned,13
"""Dear Lizzy!""",(No direct equivalent in text),"[168, 170, 172, 174]",not aligned,13
"""Oh!""",(No direct equivalent in text),"[168, 170, 172, 174]",not aligned,13
"And so, you like this man's sisters too, do you? Their manners are not equal to his.","Et vous aimez aussi les soeurs de cet homme, n'est-ce pas ? Cependant leurs manieres ne sont pas si prevenantes que les siennes ?","[180, 182, 183, 189]",aligned,14
Certainly not; at first. But they are very pleasing women when you converse with them.,"Non pas au premier abord ; mais lorsqu'on leur parle, on voit que ce sont des femmes aimables.","[180, 182, 183, 189]",aligned,14
Miss Bingley is to live with her brother and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.,Miss Bingley doit demeurer chez son frere et tenir sa maison. Je me serois bien trompee si nous ne trouvons pas en elle une charmante voisine.,"[180, 182, 183, 189]",aligned,14
