eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences
pdnc,qID,Q0-1,you,8715,8718,9,13,1,M_10,You say you are a poet of law; I say you are a contradiction in terms.,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes.,73,aligned,6772,6873,8707,8777,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes. ,"You say you
are a poet of law; I say you are a contradiction in terms. ","['tu', 'vous']","[('vous', 6772, 6776), ('vous', 6787, 6791), ('vous', 6829, 6833)]"
booknlp,COREF,92,I,8738,8739,13,13,1,M_11,You say you are a poet of law; I say you are a contradiction in terms.,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes.,73,aligned,6772,6873,8707,8777,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes. ,"You say you
are a poet of law; I say you are a contradiction in terms. ","['je', ""j'""]","[('je', 6818, 6820)]"
pdnc,qID,Q0-1,you,8744,8747,9,13,1,M_12,You say you are a poet of law; I say you are a contradiction in terms.,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes.,73,aligned,6772,6873,8707,8777,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes. ,"You say you
are a poet of law; I say you are a contradiction in terms. ","['tu', 'vous']","[('vous', 6772, 6776), ('vous', 6787, 6791), ('vous', 6829, 6833)]"
booknlp,COREF,92,I,8778,8779,13,13,1,M_13,"I only wonder there were not comets and earthquakes on the night you appeared in this garden.""",Je m'etonne que nulle comete et pas le moindre tremblement de terre n'ait annonce votre presence dans ce jardin.,74,aligned,6874,6986,8778,8871,"Je m'etonne que nulle comete et pas le moindre tremblement de terre n'ait annonce votre presence dans ce jardin.
","I only
wonder there were not comets and earthquakes on the night you appeared
in this garden.""","['je', ""j'""]","[('je', 6874, 6876)]"
pdnc,qID,Q0-1,you,8843,8846,9,13,1,M_14,"I only wonder there were not comets and earthquakes on the night you appeared in this garden.""",Je m'etonne que nulle comete et pas le moindre tremblement de terre n'ait annonce votre presence dans ce jardin.,74,aligned,6874,6986,8778,8871,"Je m'etonne que nulle comete et pas le moindre tremblement de terre n'ait annonce votre presence dans ce jardin.
","I only
wonder there were not comets and earthquakes on the night you appeared
in this garden.""","['tu', 'vous']","[(None, None, None)]"
exp,exp_name,gregory,Gregory,9024,9031,13,14,1,M_15,"The third party of the group, Gregory's sister Rosamond, who had her brother's braids of red hair, but a kindlier face underneath them, laughed with such mixture of admiration and disapproval as she gave commonly to the family oracle.","Une troisieme personne du groupe, Rosamonde, la soeur de Gregory, qui avait des cheveux tout pareils a ceux de son frere, mais un visage plus agreable, eclata de rire, et dans le ton de ce rire, elle mit ce melange d'admiration et de desapprobation qu'elle eprouvait pour l'oracle de la famille.",76,aligned,7095,7390,8994,9228,"Une troisieme personne du groupe, Rosamonde, la soeur de Gregory, qui avait des cheveux tout pareils a ceux de son frere, mais un visage plus agreable, eclata de rire, et dans le ton de ce rire, elle mit ce melange d'admiration et de desapprobation qu'elle eprouvait pour l'oracle de la famille.
","The third party of
the group, Gregory's sister Rosamond, who had her brother's braids of
red hair, but a kindlier face underneath them, laughed with such
mixture of admiration and disapproval as she gave commonly to the
family oracle.
",['Gregoire'],"[(None, None, None)]"
exp,exp_name,rosamond,Rosamond,9041,9049,17,14,1,M_16,"The third party of the group, Gregory's sister Rosamond, who had her brother's braids of red hair, but a kindlier face underneath them, laughed with such mixture of admiration and disapproval as she gave commonly to the family oracle.","Une troisieme personne du groupe, Rosamonde, la soeur de Gregory, qui avait des cheveux tout pareils a ceux de son frere, mais un visage plus agreable, eclata de rire, et dans le ton de ce rire, elle mit ce melange d'admiration et de desapprobation qu'elle eprouvait pour l'oracle de la famille.",76,aligned,7095,7390,8994,9228,"Une troisieme personne du groupe, Rosamonde, la soeur de Gregory, qui avait des cheveux tout pareils a ceux de son frere, mais un visage plus agreable, eclata de rire, et dans le ton de ce rire, elle mit ce melange d'admiration et de desapprobation qu'elle eprouvait pour l'oracle de la famille.
","The third party of
the group, Gregory's sister Rosamond, who had her brother's braids of
red hair, but a kindlier face underneath them, laughed with such
mixture of admiration and disapproval as she gave commonly to the
family oracle.
",['Rosamond'],"[(None, None, None)]"
exp,exp_name,gregory,Gregory,9230,9237,13,15,1,M_17,"Gregory resumed in high oratorical good humour. ~~~ ""An artist is identical with an anarchist,"" he cried. ~~~ ""You might transpose the words anywhere.","Gregory reprit, avec l'aisance et la bonne humeur d'un orateur de grand style : -- Artiste, anarchiste ; personnages identiques, termes interchangeables.",77,aligned,7392,7546,9230,9373,"Gregory reprit, avec l'aisance et la bonne humeur d'un orateur de grand style :

-- Artiste, anarchiste ; personnages identiques, termes interchangeables. ","Gregory resumed in high oratorical good humour.

""An artist is identical with an anarchist,"" he cried. ""You might
transpose the words anywhere. ",['Gregoire'],"[(None, None, None)]"
pdnc,qID,Q1-1,You,9334,9337,9,16,1,M_18,"Gregory resumed in high oratorical good humour. ~~~ ""An artist is identical with an anarchist,"" he cried. ~~~ ""You might transpose the words anywhere.","Gregory reprit, avec l'aisance et la bonne humeur d'un orateur de grand style : -- Artiste, anarchiste ; personnages identiques, termes interchangeables.",77,aligned,7392,7546,9230,9373,"Gregory reprit, avec l'aisance et la bonne humeur d'un orateur de grand style :

-- Artiste, anarchiste ; personnages identiques, termes interchangeables. ","Gregory resumed in high oratorical good humour.

""An artist is identical with an anarchist,"" he cried. ""You might
transpose the words anywhere. ",['Toi'],"[(None, None, None)]"
exp,exp_name,mr. syme,Mr. Syme,9849,9857,9,17,1,M_19,"""So it is,"" said Mr. Syme.","-- Il faut le dire, en effet, repliqua Syme.",83,aligned,8040,8084,9833,9858,"-- Il faut le dire, en effet, repliqua Syme.
","So it is,"" said Mr. Syme.
",['M. Syme'],"[(None, None, None)]"
exp,exp_name,gregory,Gregory,9877,9884,13,18,1,M_20,"""Nonsense!"" said Gregory, who was very rational when anyone else attempted paradox.",'-- Ridicule ! Non-sens ! ~~~ s'ecria Gregory qui devenait tout a coup tres raisonnable des qu'un autre se permettait devant lui quelque paradoxe.,90,aligned,8086,8227,9861,9943,"-- Ridicule ! Non-sens ! s'ecria Gregory qui devenait tout a coup tres raisonnable des qu'un autre se permettait devant lui quelque paradoxe.
","Nonsense!"" said Gregory, who was very rational when anyone else
attempted paradox. ",['Gregoire'],"[(None, None, None)]"
pdnc,qID,Q3-1,you,10059,10062,9,18,1,M_21,I will tell you.,Je vais vous le dire.,85,aligned,8399,8420,10047,10063,Je vais vous le dire. ,"I will tell you.
","['tu', 'vous']","[('vous', 8407, 8411)]"
pdnc,qID,Q4-0,you,10490,10493,13,19,1,M_22,"""It is you who are unpoetical,"" replied the poet Syme.","-- C'est vous qui manquez de poesie, repliqua Syme.",91,aligned,8903,8954,10484,10537,"-- C'est vous qui manquez de poesie, repliqua Syme. ","It is you who are unpoetical,"" replied the poet Syme. ","['tu', 'vous']","[('vous', 8912, 8916)]"
exp,exp_name,syme,Syme,10532,10536,9,19,1,M_23,"""It is you who are unpoetical,"" replied the poet Syme.","-- C'est vous qui manquez de poesie, repliqua Syme.",91,aligned,8903,8954,10484,10537,"-- C'est vous qui manquez de poesie, repliqua Syme. ","It is you who are unpoetical,"" replied the poet Syme. ",['Symer'],"[(None, None, None)]"
pdnc,qID,Q4-1,you,10547,10550,13,19,1,M_24,"""If what you say of clerks is true, they can only be as prosaic as your poetry.","Si ce que vous dites des employes est vrai, c'est qu'ils sont aussi prosaiques que votre poesie.",94,aligned,8955,9051,10539,10617,"Si ce que vous dites des employes est vrai, c'est qu'ils sont aussi prosaiques que votre poesie. ","If what you say
of clerks is true, they can only be as prosaic as your poetry. ","['tu', 'vous']","[('vous', 8965, 8969)]"
pdnc,qID,Q4-1,your,10605,10609,13,19,1,M_25,"""If what you say of clerks is true, they can only be as prosaic as your poetry.","Si ce que vous dites des employes est vrai, c'est qu'ils sont aussi prosaiques que votre poesie.",94,aligned,8955,9051,10539,10617,"Si ce que vous dites des employes est vrai, c'est qu'ils sont aussi prosaiques que votre poesie. ","If what you say
of clerks is true, they can only be as prosaic as your poetry. ","['ton', 'ta', 'tes', 'votre', 'vos']","[('votre', 9038, 9043)]"
pdnc,qID,Q4-1,your,11068,11072,13,19,1,M_26,"it is Victoria. ~~~ No, take your books of mere poetry and prose; let me read a time table, with tears of pride.","Gardez pour vous vos livres de vers ou de prose ; moi, je verserai des larmes d'orgueil en lisant un horaire.",98,aligned,9627,9736,11043,11151,"Gardez pour vous vos livres de vers ou de prose ; moi, je verserai des larmes d'orgueil en lisant un horaire. ","it is Victoria. No, take your books of mere poetry and prose;
let me read a time table, with tears of pride. ","['ton', 'ta', 'tes', 'votre', 'vos']","[('vos', 9644, 9647)]"
booknlp,COREF,93,me,11109,11111,9,19,1,M_27,"it is Victoria. ~~~ No, take your books of mere poetry and prose; let me read a time table, with tears of pride.","Gardez pour vous vos livres de vers ou de prose ; moi, je verserai des larmes d'orgueil en lisant un horaire.",98,aligned,9627,9736,11043,11151,"Gardez pour vous vos livres de vers ou de prose ; moi, je verserai des larmes d'orgueil en lisant un horaire. ","it is Victoria. No, take your books of mere poetry and prose;
let me read a time table, with tears of pride. ","['moi', ""m'""]","[('moi', 9677, 9680)]"
pdnc,qID,Q4-1,your,11157,11161,13,19,1,M_28,"Take your Byron, who commemorates the defeats of man; give me Bradshaw, who commemorates his victories.","Gardez votre Byron qui commemore les defaites des hommes, et donnez-moi l'horaire de Bradshaw qui raconte leurs victoires,",99,aligned,9737,9859,11152,11255,"Gardez votre Byron qui commemore les defaites des hommes, et donnez-moi l'horaire de Bradshaw qui raconte leurs victoires, ","Take your Byron, who
commemorates the defeats of man; give me Bradshaw, who commemorates his
victories. ","['ton', 'ta', 'tes', 'votre', 'vos']","[('votre', 9744, 9749)]"
booknlp,COREF,93,me,11211,11213,9,19,1,M_29,"Take your Byron, who commemorates the defeats of man; give me Bradshaw, who commemorates his victories.","Gardez votre Byron qui commemore les defaites des hommes, et donnez-moi l'horaire de Bradshaw qui raconte leurs victoires,",99,aligned,9737,9859,11152,11255,"Gardez votre Byron qui commemore les defaites des hommes, et donnez-moi l'horaire de Bradshaw qui raconte leurs victoires, ","Take your Byron, who
commemorates the defeats of man; give me Bradshaw, who commemorates his
victories. ","['moi', ""m'""]","[('moi', 9805, 9808)]"
booknlp,COREF,93,me,11261,11263,9,19,1,M_30,"Give me Bradshaw, I say!","donnez-moi l'horaire, entendez-vous !",101,aligned,9860,9897,11256,11280,"donnez-moi l'horaire, entendez-vous !
","Give me Bradshaw, I say!""","['moi', ""m'""]","[('moi', 9867, 9870)]"
booknlp,COREF,93,I,11274,11275,9,19,1,M_31,"Give me Bradshaw, I say!","donnez-moi l'horaire, entendez-vous !",101,aligned,9860,9897,11256,11280,"donnez-moi l'horaire, entendez-vous !
","Give me Bradshaw, I say!""","['je', ""j'""]","[(None, None, None)]"
pdnc,qID,Q5-0,you,11289,11292,9,20,1,M_32,"""Must you go?"" inquired Gregory sarcastically.",Allez-vous loin ? demanda Gregory sarcastique.,100,aligned,9902,9948,11284,11329,"Allez-vous loin ? demanda Gregory sarcastique.
","Must you go?"" inquired Gregory sarcastically.
","['tu', 'vous']","[('vous', 9908, 9912)]"
exp,exp_name,gregory,Gregory,11307,11314,13,20,1,M_33,"""Must you go?"" inquired Gregory sarcastically.",Allez-vous loin ? demanda Gregory sarcastique.,100,aligned,9902,9948,11284,11329,"Allez-vous loin ? demanda Gregory sarcastique.
","Must you go?"" inquired Gregory sarcastically.
",['Gregoire'],"[(None, None, None)]"
booknlp,COREF,93,I,11332,11333,9,21,1,M_34,"""I tell you,"" went on Syme with passion, ""that every time a train comes in I feel that it has broken past batteries of besiegers, and that man has won a battle against chaos.","-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos.",102,aligned,9950,10164,11332,11505,"-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos. ","I tell you,"" went on Syme with passion, ""that every time a train comes
in I feel that it has broken past batteries of besiegers, and that man
has won a battle against chaos. ","['je', ""j'""]","[('je', 9953, 9955), (""j'"", 10038, 10040)]"
pdnc,qID,Q6-0,you,11339,11342,13,21,1,M_35,"""I tell you,"" went on Syme with passion, ""that every time a train comes in I feel that it has broken past batteries of besiegers, and that man has won a battle against chaos.","-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos.",102,aligned,9950,10164,11332,11505,"-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos. ","I tell you,"" went on Syme with passion, ""that every time a train comes
in I feel that it has broken past batteries of besiegers, and that man
has won a battle against chaos. ","['tu', 'vous']","[('vous', 9956, 9960)]"
exp,exp_name,syme,Syme,11353,11357,9,21,1,M_36,"""I tell you,"" went on Syme with passion, ""that every time a train comes in I feel that it has broken past batteries of besiegers, and that man has won a battle against chaos.","-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos.",102,aligned,9950,10164,11332,11505,"-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos. ","I tell you,"" went on Syme with passion, ""that every time a train comes
in I feel that it has broken past batteries of besiegers, and that man
has won a battle against chaos. ",['Symer'],"[(None, None, None)]"
booknlp,COREF,93,I,11406,11407,9,21,1,M_37,"""I tell you,"" went on Syme with passion, ""that every time a train comes in I feel that it has broken past batteries of besiegers, and that man has won a battle against chaos.","-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos.",102,aligned,9950,10164,11332,11505,"-- Je vous l'assure, continua Syme avec ardeur, chaque fois qu'un train arrive en gare, j'ai le sentiment qu'il s'est fraye son chemin sous le feu d'innombrables batteries ennemies et que l'homme a vaincu le chaos. ","I tell you,"" went on Syme with passion, ""that every time a train comes
in I feel that it has broken past batteries of besiegers, and that man
has won a battle against chaos. ","['je', ""j'""]","[('je', 9953, 9955), (""j'"", 10038, 10040)]"
pdnc,qID,Q6-1,You,11506,11509,13,21,1,M_38,"You say contemptuously that when one has left Sloane Square one must come to Victoria. ~~~ I say that one might do a thousand things instead, and that whenever I really come there I have the sense of hairbreadth escape.","Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. ~~~ Victoria !",103,aligned,10165,10466,11506,11721,"Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. Victoria ! ","You say contemptuously that when one
has left Sloane Square one must come to Victoria. I say that one might
do a thousand things instead, and that whenever I really come there I
have the sense of hairbreadth escape. ",['Toi'],"[(None, None, None)]"
booknlp,COREF,93,I,11593,11594,9,21,1,M_39,"You say contemptuously that when one has left Sloane Square one must come to Victoria. ~~~ I say that one might do a thousand things instead, and that whenever I really come there I have the sense of hairbreadth escape.","Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. ~~~ Victoria !",103,aligned,10165,10466,11506,11721,"Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. Victoria ! ","You say contemptuously that when one
has left Sloane Square one must come to Victoria. I say that one might
do a thousand things instead, and that whenever I really come there I
have the sense of hairbreadth escape. ","['je', ""j'""]","[('je', 10270, 10272), ('je', 10394, 10396)]"
booknlp,COREF,93,I,11662,11663,9,21,1,M_40,"You say contemptuously that when one has left Sloane Square one must come to Victoria. ~~~ I say that one might do a thousand things instead, and that whenever I really come there I have the sense of hairbreadth escape.","Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. ~~~ Victoria !",103,aligned,10165,10466,11506,11721,"Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. Victoria ! ","You say contemptuously that when one
has left Sloane Square one must come to Victoria. I say that one might
do a thousand things instead, and that whenever I really come there I
have the sense of hairbreadth escape. ","['je', ""j'""]","[('je', 10270, 10272), ('je', 10394, 10396)]"
booknlp,COREF,93,I,11682,11683,9,21,1,M_41,"You say contemptuously that when one has left Sloane Square one must come to Victoria. ~~~ I say that one might do a thousand things instead, and that whenever I really come there I have the sense of hairbreadth escape.","Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. ~~~ Victoria !",103,aligned,10165,10466,11506,11721,"Vous trouvez pitoyable qu'apres avoir quitte Sloane Street on arrive necessairement a Victoria ; et moi, je vous dis qu'on pourrait fort bien ne jamais arriver a Victoria, qu'il est merveilleux qu'on y arrive et qu'en y arrivant je me felicite d'avoir echappe de tres pres a mille malheurs. Victoria ! ","You say contemptuously that when one
has left Sloane Square one must come to Victoria. I say that one might
do a thousand things instead, and that whenever I really come there I
have the sense of hairbreadth escape. ","['je', ""j'""]","[('je', 10270, 10272), ('je', 10394, 10396)]"
booknlp,COREF,93,I,11731,11732,9,21,1,M_42,"'And when I hear the guard shout out the word Victoria,' it is not an unmeaning word.","'Ce n'est pas un mot depourvu de sens, pour moi, quand c'est le conducteur qui le crie !'",104,aligned,10467,10554,11722,11807,"Ce n'est pas un mot depourvu de sens, pour moi, quand c'est le conducteur qui le crie ! ","And when I hear the guard shout
out the word  Victoria,' it is not an unmeaning word. ","['je', ""j'""]","[(None, None, None)]"
booknlp,COREF,93,me,11817,11819,9,21,1,M_43,'It is to me the cry of a herald announcing conquest.','C'est pour moi le cri du heraut annoncant la victoire : la victoire d'Adam !',106,aligned,10555,10631,11808,11860,"C'est pour moi le cri du heraut annoncant la victoire : la victoire d'Adam !
","It is to me the
cry of a herald announcing conquest. ","['moi', ""m'""]","[('moi', 10566, 10569)]"
