eng_text,fr_text,eng_context,fr_context,eng_mID
time,,"time she went on talking: ""Dea",,M_291
she,,"she went on talking: ""Dear, de",,M_292
I,,I wonder if I've been changed ,,M_293
I,,I've been changed in the night,,M_294
me,,me think: was I the same when ,,M_295
I,,I the same when I got up this ,,M_296
I,,I got up this morning? I almos,,M_297
I,,"I'm not the same, the next que",,M_300
I,,"I? Ah, _that's_ the great puzz",,M_301
herself,,"herself, to see if she could h",,M_304
I,,"I'm sure I'm not Ada,"" she sai",,M_306
I,,"I'm not Ada,"" she said, ""for h",,M_307
she,,"she said, ""for her hair goes i",,M_309
her,,her hair goes in such long rin,,M_310
I,,"I'm sure I can't be Mabel, for",,M_312
I,,"I can't be Mabel, for I know a",,M_313
Mabel,,"Mabel, for I know all sorts of",,M_314
I,,"I know all sorts of things, an",,M_315
she,,"she, oh! she knows such a very",,M_316
she,,she knows such a very little! ,,M_317
she,,"she's_ she, and _I'm_ I, and--",,M_318
she,,"she, and _I'm_ I, and--oh dear",,M_319
I,,"I'm_ I, and--oh dear, how puzz",,M_320
I,,"I, and--oh dear, how puzzling ",,M_321
I,,I'll try if I know all the thi,,M_322
I,,I know all the things I used t,,M_323
I,,I used to know. Let me see: fo,,M_324
me,,me see: four times five is twe,,M_325
five,,"five is twelve, and four times",,M_326
seven,,seven is--oh dear! I shall nev,,M_327
I,,I shall never get to twenty at,,M_328
I,,I'm sure those are not the rig,,M_334
her,,her eyes filled with tears aga,,M_336
she,,"she went on, ""I must be Mabel ",,M_337
I,,"I must be Mabel after all, and",,M_338
I,,I shall have to go and live in,,M_340
I,,I shall only look up and say ',,M_346
I,,"I then? Tell me that first, an",,M_347
I,,"I like being that person, I'll",,M_349
I,,"I'll come up: if not, I'll sta",,M_350
I,,I'll stay down here till I'm s,,M_351
I,,"I'm somebody else'--but, oh de",,M_352
I,,I do wish they _would_ put the,,M_354
I,,I am so _very_ tired of being ,,M_355
she,,she said this she looked down ,,M_356
she,,"she looked down at her hands, ",,M_357
her,,"her hands, and was surprised t",,M_358
she,,she had put on one of the Rabb,,M_359
the Rabbit,,the Rabbit's little white kid ,,M_360
she,,"she was talking. ""How _can_ I ",,M_361
I,,"I have done that?"" she thought",,M_362
She,,She got up and went to the tab,,M_365
herself,,"herself by it, and found that,",,M_366
she,,"she could guess, she was now a",,M_367
she,,she was now about two feet hig,,M_368
she,,she soon found out that the ca,,M_370
she,,"she was holding, and she dropp",,M_371
she,,"she dropped it hastily, just i",,M_372
herself,,"herself still in existence; ""a",,M_375
she,,she ran with all speed back to,,M_376
she,,she said these words her foot ,,M_377
her,,"her foot slipped, and in anoth",,M_378
she,,she was up to her chin in salt,,M_379
her,,her chin in salt water. Her fi,,M_380
she,,she had somehow fallen into th,,M_382
herself,,herself. (Alice had been to th,,M_385
Alice,,Alice had been to the seaside ,,M_386
her,,"her life, and had come to the ",,M_387
I,,I wish I hadn't cried so much!,,M_392
I,,"I hadn't cried so much!"" said ",,M_393
she,,"she swam about, trying to find",,M_395
I,,I shall be punished for it now,,M_397
I,,"I suppose, by being drowned in",,M_398
Alice,,"Alice, ""to speak to this mouse",,M_407
I,,I should think very likely it ,,M_409
she,,she had never done such a thin,,M_416
she,,she remembered having seen in ,,M_417
her,,"her brother's Latin Grammar, """,,M_418
her,,"her rather inquisitively, and ",,M_420
her,,her to wink with one of its li,,M_421
I,,"I beg your pardon!"" cried Alic",,M_432
your,,"your pardon!"" cried Alice hast",,M_433
she,,she had hurt the poor animal's,,M_435
you,,you_ like cats if you were me?,,M_439
you,,"you were me?""

""Well, perhaps ",,M_440
me,,"me?""

""Well, perhaps not,"" sai",,M_441
I,,I wish I could show you our ca,,M_443
I,,I could show you our cat Dinah,,M_444
you,,you our cat Dinah: I think you,,M_445
our cat Dinah,,our cat Dinah: I think you'd t,,M_446
I,,I think you'd take a fancy to ,,M_447
you,,you'd take a fancy to cats if ,,M_448
you,,you could only see her. She is,,M_449
She,,She is such a dear quiet thing,,M_451
herself,,"herself, as she swam lazily ab",,M_453
she,,she swam lazily about in the p,,M_454
she,,she sits purring so nicely by ,,M_455
her,,her paws and washing her face-,,M_456
her,,her face--and she is such a ni,,M_457
she,,she is such a nice soft thing ,,M_458
she,,she's such a capital one for c,,M_459
I,,"I beg your pardon!"" cried Alic",,M_460
your,,"your pardon!"" cried Alice agai",,M_461
time,,time the Mouse was bristling a,,M_463
you,,you--are you fond--of--of dogs,,M_471
you,,"you fond--of--of dogs?"" The Mo",,M_472
A little bright-eyed terrier,,"A little bright-eyed terrier, ",,M_477
you,,"you know, with oh, such long c",,M_478
it,,it'll fetch things when you th,,M_479
you,,"you throw them, and it'll sit ",,M_480
it,,it'll sit up and beg for its d,,M_481
I,,I can't remember half of them-,,M_483
you,,"you know, and he says it's so ",,M_485
it,,it kills all the rats and--oh ,,M_489
I,,I'm afraid I've offended it ag,,M_491
I,,"I've offended it again!"" For t",,M_492
it,,"it again!"" For the Mouse was s",,M_493
the Mouse,,the Mouse was swimming away fr,,M_494
her,,"her as hard as it could go, an",,M_495
she,,"she called softly after it, ""M",,M_496
Mouse dear,,Mouse dear! Do come back again,,M_497
you,,"you don't like them!"" When the",,M_498
the Mouse,,"the Mouse heard this, it turne",,M_499
her,,her: its face was quite pale (,,M_500
herself,,herself talking familiarly wit,,M_510
her,,"her life. Indeed, she had quit",,M_512
the Lory,,"the Lory, who at last turned s",,M_514
I,,"I am older than you, and must ",,M_515
the Lory,,the Lory positively refused to,,M_518
Alice,,Alice kept her eyes anxiously ,,M_521
she,,she felt sure she would catch ,,M_523
she,,she would catch a bad cold if ,,M_524
she,,she did not get dry very soon.,,M_525
the Lory,,"the Lory, with a shiver.

""I b",,M_532
I,,"I beg your pardon!"" said the M",,M_533
your,,"your pardon!"" said the Mouse, ",,M_534
him,,"him: and even Stigand, the pat",,M_543
the patriotic archbishop of Canterbury,,the patriotic archbishop of Ca,,M_545
his,,his Normans--' How are you get,,M_555
you,,"you getting on now, my dear?"" ",,M_556
my dear,,"my dear?"" it continued, turnin",,M_557
me,,"me at all.""

""In that case,"" s",,M_560
you,,"you do either!"" And the Eaglet",,M_563
yourself,,"yourself, some winter day, I w",,M_571
the Dodo,,the Dodo could not answer with,,M_576
time,,time with one finger pressed u,,M_577
you,,"you usually see Shakespeare, i",,M_578
 all,," all must have prizes.""

""But ",,M_580
her,,"her, calling out in a confused",,M_584
her,,"her hand in her pocket, and pu",,M_587
her,,"her pocket, and pulled out a b",,M_588
she,,"she must have a prize herself,",,M_589
herself,,"herself, you know,"" said the M",,M_590
you,,"you know,"" said the Mouse.

""O",,M_591
your,,your acceptance of this elegan,,M_601
she,,she did not dare to laugh; and,,M_603
she,,she could not think of anythin,,M_604
she,,"she simply bowed, and took the",,M_605
she,,"she could.

The next thing was",,M_606
she,,she kept on puzzling about it ,,M_621
the Mouse,,"the Mouse was speaking, so tha",,M_622
her,,her idea of the tale was somet,,M_623
he,,"he met in the house, 'Let us b",,M_624
I,,"I'll be judge, I'll be jury,' ",,M_629
I,,"I'll be jury,' Said cunning ol",,M_630
I,,I'll          try the whole ca,,M_631
you,,"you to death.'""

""You are not ",,M_632
You,,"You are not attending!"" said t",,M_633
Alice,,"Alice severely. ""What are you ",,M_635
I,,"I beg your pardon,"" said Alice",,M_637
Alice,,"Alice very humbly: ""you had go",,M_639
you,,"you had got to the fifth bend,",,M_640
I,,"I think?""

""I had _not!_"" crie",,M_641
I,,"I had _not!_"" cried the Mouse,",,M_642
Alice,,"Alice, always ready to make he",,M_644
herself,,"herself useful, and looking an",,M_645
her,,"her. ""Oh, do let me help to un",,M_646
I,,I shall do nothing of the sort,,M_648
the Mouse,,"the Mouse, getting up and walk",,M_649
You,,You insult me by talking such ,,M_650
I,,"I didn't mean it!"" pleaded poo",,M_652
Alice,,"Alice. ""But you're so easily o",,M_653
you,,"you're so easily offended, you",,M_654
you,,"you know!""

The Mouse only gro",,M_655
The Mouse,,The Mouse only growled in repl,,M_656
Alice,,Alice called after it; and the,,M_658
the Mouse,,the Mouse only shook its head ,,M_659
it,,"it wouldn't stay!"" sighed the ",,M_661
the Lory,,"the Lory, as soon as it was qu",,M_662
my dear,,my dear! Let this be a lesson ,,M_664
you,,you never to lose _your_ tempe,,M_665
your,,"your_ temper!"" ""Hold your tong",,M_666
your,,"your tongue, Ma!"" said the you",,M_667
Ma,,"Ma!"" said the young Crab, a li",,M_668
You,,You're enough to try the patie,,M_670
I,,"I wish I had our Dinah here, I",,M_671
I,,"I had our Dinah here, I know I",,M_672
our Dinah,,"our Dinah here, I know I do!"" ",,M_673
I,,"I know I do!"" said Alice aloud",,M_674
I,,"I do!"" said Alice aloud, addre",,M_675
the Lory,,"the Lory.

Alice replied eager",,M_679
I,,I wish you could see her after,,M_685
she,,she'll eat a little bird as so,,M_688
I,,I wish I hadn't mentioned Dina,,M_693
I,,"I hadn't mentioned Dinah!"" she",,M_694
I,,I wonder if I shall ever see y,,M_702
I,,I shall ever see you any more!,,M_703
you,,"you any more!"" And here poor A",,M_704
his,,"his mind, and was coming back ",,M_710
his,,"his story.




CHAPTER IV. The",,M_711
Bill,,"Bill


It was the White Rabbit",,M_713
she,,she heard it muttering to itse,,M_715
The Duchess,,The Duchess! The Duchess! Oh m,,M_717
my,,my fur and whiskers! She'll ge,,M_720
She,,"She'll get me executed, as sur",,M_721
me,,"me executed, as sure as ferret",,M_722
I,,"I have dropped them, I wonder?",,M_723
I,,"I wonder?"" Alice guessed in a ",,M_724
she,,she very good-naturedly began ,,M_726
her,,"her swim in the pool, and the ",,M_727
she,,"she went hunting about, and ca",,M_730
Mary Ann,,"Mary Ann, what _are_ you doing",,M_732
me,,me a pair of gloves and a fan!,,M_734
she,,she said to herself as she ran,,M_740
she,,"she ran. ""How surprised he'll ",,M_742
his,,"his fan and gloves--that is, i",,M_748
she,,"she said this, she came upon a",,M_750
she,,she came upon a neat little ho,,M_751
she,,she should meet the real Mary ,,M_753
Mary Ann,,"Mary Ann, and be turned out of",,M_754
she,,she had found the fan and glov,,M_755
I,,I suppose Dinah'll be sending ,,M_758
nurse,,nurse! But I've got to see tha,,M_764
time,,time she had found her way int,,M_771
her,,her way into a tidy little roo,,M_773
two,,two or three pairs of tiny whi,,M_775
she,,she took up the fan and a pair,,M_776
her,,her eye fell upon a little bot,,M_777
time,,"time with the words ""DRINK ME,",,M_778
she,,she uncorked it and put it to ,,M_780
her,,"her lips. ""I know _something_ ",,M_781
me,,"me grow large again, for reall",,M_788
her,,her head pressing against the ,,M_793
her,,her neck from being broken. Sh,,M_794
I,,I hope I shan't grow any more-,,M_797
I,,I shan't grow any more--As it ,,M_798
I,,I can't get out at the door--I,,M_799
I,,I do wish I hadn't drunk quite,,M_800
I,,"I hadn't drunk quite so much!""",,M_801
She,,"She went on growing, and growi",,M_802
she,,she tried the effect of lying ,,M_803
her,,her head. Still she went on gr,,M_804
herself,,"herself ""Now I can do no more,",,M_807
me,,"me?""

Luckily for Alice, the l",,M_809
she,,she grew no larger: still it w,,M_811
her,,her ever getting out of the ro,,M_812
she,,"she felt unhappy.

""It was muc",,M_813
Alice,,"Alice, ""when one wasn't always",,M_814
I,,I almost wish I hadn't gone do,,M_815
I,,I hadn't gone down that rabbit,,M_816
I,,I do wonder what _can_ have ha,,M_817
me,,me! When I used to read fairy-,,M_818
I,,"I used to read fairy-tales, I ",,M_819
I,,I fancied that kind of thing n,,M_820
I,,I am in the middle of one! The,,M_821
me,,"me, that there ought! And when",,M_822
Mary Ann,,"Mary Ann! Mary Ann!"" said the ",,M_839
Mary Ann,,"Mary Ann!"" said the voice. ""Fe",,M_840
Alice,,Alice knew it was the Rabbit c,,M_841
her,,"her, and she trembled till she",,M_843
she,,she trembled till she shook th,,M_844
she,,"she shook the house, quite for",,M_845
she,,she was now about a thousand t,,M_846
you,,"you won't!"" thought Alice, and",,M_851
Alice,,"Alice, and, after waiting till",,M_852
she,,she fancied she heard the Rabb,,M_853
she,,she heard the Rabbit just unde,,M_854
she,,she suddenly spread out her ha,,M_856
her,,"her hand, and made a snatch in",,M_857
she,,she heard a little shriek and ,,M_859
she,,she concluded that it was just,,M_860
Pat,,"Pat! Pat! Where are you?"" And ",,M_862
me,,"me, Pat, what's that in the wi",,M_869
Pat,,"Pat, what's that in the window",,M_870
yer honour,,"yer honour!"" (He pronounced it",,M_871
you goose,,you goose! Who ever saw one th,,M_872
yer honour,,yer honour: but it's an arm fo,,M_873
Alice,,Alice could only hear whispers,,M_874
yer honour,,"yer honour, at all, at all!"" """,,M_876
you,,"you, you coward!"" and at last ",,M_878
you coward,,"you coward!"" and at last she s",,M_879
she,,"she spread out her hand again,",,M_880
her,,"her hand again, and made anoth",,M_881
time,,time there were _two_ little s,,M_882
Alice,,"Alice. ""I wonder what they'll ",,M_883
She,,She waited for some time witho,,M_889
time,,time without hearing anything ,,M_890
she,,"she made out the words: ""Where",,M_891
Bill,,Bill's got the other--Bill! fe,,M_893
Bill,,"Bill! fetch it here, lad!--Her",,M_894
'em,,"'em up at this corner--No, tie",,M_895
'em,,'em together first--they don't,,M_896
Bill,,Bill! catch hold of this rope-,,M_897
Bill,,"Bill, I fancy--Who's to go dow",,M_898
I,,I fancy--Who's to go down the ,,M_899
I,,I_ shan't! _You_ do it!--_That,,M_900
Bill,,Bill's got to come down the ch,,M_906
he,,"he?"" said Alice to herself. ""S",,M_907
She,,She drew her foot as far down ,,M_915
her,,her foot as far down the chimn,,M_916
she,,"she could, and waited till she",,M_917
she,,she heard a little animal (she,,M_918
she,,she couldn't guess of what sor,,M_919
her,,"her: then, saying to herself """,,M_920
Bill,,"Bill,"" she gave one sharp kick",,M_922
she,,"she gave one sharp kick, and w",,M_923
she,,she heard was a general chorus,,M_924
Bill,,"Bill!"" then the Rabbit's voice",,M_925
the Rabbit,,"the Rabbit's voice along--""Cat",,M_926
him,,"him, you by the hedge!"" then s",,M_927
him,,"him--How was it, old fellow? W",,M_930
Bill,,"Bill,"" thought Alice,) ""Well, ",,M_931
she,,"she could, ""If you do, I'll se",,M_935
Dinah,,"Dinah at you!""

There was a de",,M_937
I,,I wonder what they _will_ do n,,M_940
two,,"two, they began moving about a",,M_941
she,,"she had not long to doubt, for",,M_945
her,,"her in the face. ""I'll put a s",,M_946
she,,"she said to herself, and shout",,M_948
You,,You'd better not do that again,,M_950
I,,"I eat one of these cakes,"" she",,M_953
my,,my size; and as it can't possi,,M_955
me,,"me larger, it must make me sma",,M_956
me,,"me smaller, I suppose.""

So sh",,M_957
I,,"I suppose.""

So she swallowed ",,M_958
she,,she appeared; but she ran off ,,M_966
she,,she ran off as hard as she cou,,M_967
she,,"she could, and soon found hers",,M_968
herself,,"herself safe in a thick wood.
",,M_969
herself,,"herself, as she wandered about",,M_972
she,,she wandered about in the wood,,M_973
my,,my right size again; and the s,,M_974
my,,my way into that lovely garden,,M_975
I,,I think that will be the best ,,M_976
she,,she had not the smallest idea ,,M_977
she,,she was peering about anxiousl,,M_978
her,,her head made her look up in a,,M_979
her,,"her look up in a great hurry.
",,M_980
An enormous puppy,,An enormous puppy was looking ,,M_981
her,,"her with large round eyes, and",,M_982
her,,"her. ""Poor little thing!"" said",,M_983
Poor little thing,,"Poor little thing!"" said Alice",,M_984
she,,"she did, she picked up a littl",,M_991
she,,she picked up a little bit of ,,M_992
Alice,,Alice dodged behind a great th,,M_993
herself,,herself from being run over; a,,M_994
she,,she appeared on the other side,,M_995
Alice,,"Alice, thinking it was very li",,M_996
time,,"time and a long way back, and ",,M_997
she,,she leant against a buttercup ,,M_1004
herself,,"herself, and fanned herself wi",,M_1005
herself,,herself with one of the leaves,,M_1006
it,,"it tricks very much, if--if I'",,M_1008
I,,I'd nearly forgotten that I've,,M_1010
I,,I've got to grow up again! Let,,M_1011
me,,me see--how _is_ it to be mana,,M_1012
I,,I suppose I ought to eat or dr,,M_1013
I,,I ought to eat or drink someth,,M_1014
her,,her at the flowers and the bla,,M_1016
she,,she did not see anything that ,,M_1017
her,,"her, about the same height as ",,M_1018
herself,,herself; and when she had look,,M_1019
she,,"she had looked under it, and o",,M_1020
her,,her that she might as well loo,,M_1021
she,,she might as well look and see,,M_1022
She,,She stretched herself up on ti,,M_1023
her,,her eyes immediately met those,,M_1025
her,,"her or of anything else.




C",,M_1026
The Caterpillar,,The Caterpillar and Alice look,,M_1027
time,,time in silence: at last the C,,M_1029
the Caterpillar,,the Caterpillar took the hooka,,M_1030
her,,"her in a languid, sleepy voice",,M_1031
the Caterpillar,,"the Caterpillar.

This was not",,M_1033
I,,"I--I hardly know, sir, just at",,M_1035
I,,"I hardly know, sir, just at pr",,M_1036
sir,,"sir, just at present--at least",,M_1037
I,,I know who I _was_ when I got ,,M_1038
I,,I _was_ when I got up this mor,,M_1039
I,,"I got up this morning, but I t",,M_1040
I,,I think I must have been chang,,M_1041
I,,I must have been changed sever,,M_1042
yourself,,"yourself!""

""I can't explain _",,M_1045
I,,"I can't explain _myself_, I'm ",,M_1046
myself,,"myself_, I'm afraid, sir,"" sai",,M_1047
I,,"I'm afraid, sir,"" said Alice, ",,M_1048
I,,"I'm not myself, you see.""

""I ",,M_1050
myself,,"myself, you see.""

""I don't se",,M_1051
I,,I'm afraid I can't put it more,,M_1055
I,,"I can't put it more clearly,"" ",,M_1056
I,,I can't understand it myself t,,M_1058
myself,,myself to begin with; and bein,,M_1059
you,,"you haven't found it so yet,"" ",,M_1061
you,,you have to turn into a chrysa,,M_1063
you,,"you will some day, you know--a",,M_1064
you,,you know--and then after that ,,M_1065
you,,"you'll feel it a little queer,",,M_1067
you,,"you?""

""Not a bit,"" said the C",,M_1068
she,,"she drew herself up and said, ",,M_1079
I,,"I think, you ought to tell me ",,M_1081
you,,you ought to tell me who _you_,,M_1082
me,,"me who _you_ are, first.""

""Wh",,M_1083
you,,"you_ are, first.""

""Why?"" said",,M_1084
Alice,,Alice could not think of any g,,M_1086
she,,"she turned away.

""Come back!""",,M_1088
your,,"your temper,"" said the Caterpi",,M_1092
she,,"she could.

""No,"" said the Cat",,M_1096
Alice,,Alice thought she might as wel,,M_1098
she,,"she might as well wait, as she",,M_1099
she,,"she had nothing else to do, an",,M_1100
her,,her something worth hearing. F,,M_1101
I,,"I'm afraid I am, sir,"" said Al",,M_1105
I,,"I am, sir,"" said Alice; ""I can",,M_1106
sir,,"sir,"" said Alice; ""I can't rem",,M_1107
I,,I can't remember things as I u,,M_1109
I,,I used--and I don't keep the s,,M_1110
I,,I don't keep the same size for,,M_1111
You,,"You are old, Father William_,'",,M_1114
her,,"her hands, and began:--

""You ",,M_1117
You,,"You are old, Father William,"" ",,M_1118
your,,your hair has become very whit,,M_1119
your,,"your head--     Do you think, ",,M_1121
your,,"your age, it is right?""

""In m",,M_1123
you,,"you a couple?""

""You are old,""",,M_1126
You,,"You are old,"" said the youth, ",,M_1127
your,,your jaws are too weak     For,,M_1128
you,,"you finished the goose, with t",,M_1129
you,,"you manage to do it?""

""In my ",,M_1130
I,,"I'm not particular as to size,",,M_1142
Alice,,"Alice hastily replied; ""only o",,M_1143
Alice,,Alice said nothing: she had ne,,M_1145
she,,she had never been so much con,,M_1146
her,,"her life before, and she felt ",,M_1147
she,,she felt that she was losing h,,M_1148
she,,"she was losing her temper.

""A",,M_1149
her,,"her temper.

""Are you content ",,M_1150
sir,,"sir, if you wouldn't mind,"" sa",,M_1154
herself,,"herself, ""I wish the creatures",,M_1160
I,,I wish the creatures wouldn't ,,M_1161
two,,two the Caterpillar took the h,,M_1167
you,,"you grow taller, and the other",,M_1169
you,,"you grow shorter.""

""One side ",,M_1170
herself,,"herself.

""Of the mushroom,"" s",,M_1172
the Caterpillar,,"the Caterpillar, just as if sh",,M_1173
she,,she had asked it aloud; and in,,M_1174
two,,two sides of it; and as it was,,M_1176
she,,she stretched her arms round i,,M_1178
she,,"she said to herself, and nibbl",,M_1180
herself,,"herself, and nibbled a little ",,M_1181
she,,she felt a violent blow undern,,M_1182
her,,her chin: it had struck her fo,,M_1183
her,,"her foot!

She was a good deal",,M_1184
She,,She was a good deal frightened,,M_1185
her,,"her foot, that there was hardl",,M_1191
her,,her mouth; but she did it at l,,M_1192
she,,"she did it at last, and manage",,M_1193
Alice,,"Alice in a tone of delight, wh",,M_1195
her,,her shoulders were nowhere to ,,M_1197
her,,"her.

""What _can_ all that gre",,M_1200
She,,She was moving them about as s,,M_1206
she,,"she spoke, but no result seeme",,M_1207
her,,"her hands up to her head, she ",,M_1208
her,,"her head, she tried to get her",,M_1209
she,,she tried to get her head down,,M_1210
her,,"her head down to them, and was",,M_1211
her,,her neck would bend about easi,,M_1212
She,,She had just succeeded in curv,,M_1213
her,,her draw back in a hurry: a la,,M_1216
her,,"her face, and was beating her ",,M_1217
her,,"her violently with its wings.
",,M_1218
Alice,,Alice was more and more puzzle,,M_1230
she,,she thought there was no use i,,M_1231
the Pigeon,,"the Pigeon had finished.

""As ",,M_1232
I,,"I'm a--I'm a--""

""Well! _What_",,M_1243
you,,"you?"" said the Pigeon. ""I can ",,M_1244
I,,"I--I'm a little girl,"" said Al",,M_1247
You,,You're a serpent; and there's ,,M_1253
the Pigeon,,the Pigeon the opportunity of ,,M_1263
You,,"You're looking for eggs, I kno",,M_1264
you,,you're a little girl or a serp,,M_1265
me,,"me_,"" said Alice hastily; ""but",,M_1266
yours,,yours_: I don't like them raw.,,M_1271
she,,"she could, for her neck kept g",,M_1275
her,,her neck kept getting entangle,,M_1276
she,,she had to stop and untwist it,,M_1277
her,,"her hands, and she set to work",,M_1280
herself,,herself down to her usual heig,,M_1283
her,,"her usual height.

It was so l",,M_1284
she,,she had been anything near the,,M_1285
she,,she got used to it in a few mi,,M_1286
herself,,"herself, as usual. ""Come, ther",,M_1287
