eng_text,fr_text,eng_context,fr_context,eng_mID
Alice,Alice,"ng stupidly up into the sky.

Alice went timidly up to the d","gardant niaisement en l'air.

Alice s'approcha timidement de",M_1318
Alice,Alice,"le.

""Very much indeed,"" said Alice.

""Come, let's try the f"," ferait grand plaisir, >> dit Alice.

<< Allons, essayons la",M_2667
Alice,Alice,"st like a star-fish,"" thought Alice. The poor little thing w","une etoile de mer, >> pensait Alice. La pauvre petite creatu",M_1467
Alice,Alice,"ittle anxiously.

""Yes,"" said Alice, ""we learned French and ","e inquietude.

<< Oui, >> dit Alice, << nous apprenions l'it",M_2560
Alice,Alice,"out, but it just missed her.

Alice caught the baby with som","s elle la manqua tout juste.

Alice eut de la peine a attrap",M_1465
Alice,Alice,"'t have wanted it much,"" said Alice; ""living at the bottom o","iez au fond de la mer, >> dit Alice.

<< Je n'avais pas les ",M_2567
Alice,Alice,"ou like!"" the Duchess said to Alice, flinging the baby at he",voulez ! >> dit la Duchesse a Alice : et a ces mots elle lui,M_1454
Alice,Alice," is, I suppose?""

""Yes,"" said Alice doubtfully: ""it means--t","e suppose ? >>
<< Oui, >> dit Alice, en hesitant : << cela v",M_2578
Alice,Alice,"day did you do lessons?"" said Alice, in a hurry to change th"," aviez-vous par jour ? >> dit Alice vivement, pour changer l",M_2603
Alice,Alice,"ind what you're doing!"" cried Alice, jumping up and down in ","ce que vous faites, >> criait Alice, sautant ca et la et en ",M_1411
Alice,Alice,"uchess; ""and that's a fact.""

Alice did not at all like the ","rvation ne plut pas du tout a Alice, et elle pensa qu'il ser",M_1401
Alice,Alice,"I don't know of any that do,"" Alice said very politely, feel","is pas un qui grimace, >> dit Alice poliment, bien contente ",M_1398
Alice,Alice,"e first position in dancing."" Alice said; but was dreadfully","u'on apprend a danser, >> dit Alice ; tout cela l'embarrassa",M_2818
Alice,Alice,ith such sudden violence that Alice quite jumped; but she sa,t si fort et si subitement qu'Alice en fremit. Mais elle com,M_1389
Alice,Alice,"
This was quite a new idea to Alice, and she thought it over","peu a peu. >>
C'etait la pour Alice une idee toute nouvelle ",M_2607
Alice,Alice,"d you manage on the twelfth?"" Alice went on eagerly.

""That'","r ? >> s'empressa de demander Alice.

<< En voila assez sur ",M_2613
Alice,Alice,"oo much pepper in that soup!"" Alice said to herself, as well","ivre dans la soupe, >> se dit Alice, tout empechee par les e",M_1372
Alice,Alice," use in talking to him,"" said Alice desperately: ""he's perfe","peine de lui parler, >>


dit Alice, desesperee ; << c'est u",M_1367
Alice,Alice,"across his eyes. He looked at Alice, and tried to speak, but","es sur ses yeux. Elle regarda Alice et s'efforca de parler, ",M_2619
Alice,Alice,"

""How am I to get in?"" asked Alice again, in a louder tone.","re pour entrer ? >> redemanda Alice en elevant la voix.

<< ",M_1351
Alice,Alice,"the sea--"" (""I haven't,"" said Alice)--""and perhaps you were "," mer ? >> -- ( << Non, >> dit Alice) -- << et peut-etre ne v",M_2633
Alice,Alice,"ime he was speaking, and this Alice thought decidedly uncivi","ut le temps qu'il parlait, et Alice trouvait cela tres-impol",M_1337
Alice,Alice,"n introduced to a lobster--"" (Alice began to say ""I once tas",s presentee a un homard ? >> (Alice allait dire : << J'en ai,M_2635
Alice,Alice,"be a very pretty dance,"" said Alice timidly.

""Would you lik","olie danse, >> dit timidement Alice.

<< Voudriez-vous voir ",M_2664
Alice,Alice,"ease would you tell me,"" said Alice, a little timidly, for s","riez-vous m'apprendre, >> dit Alice un peu timidement, car e",M_1380
Alice,Alice,"ite_ right, I'm afraid,"" said Alice, timidly; ""some of the w","it, je le crains bien, >> dit Alice timidement. << Tous les ",M_1138
Alice,Alice,"am_,'"" said the Caterpillar.

Alice folded her hands, and be","aume, >> >> dit la Chenille.

Alice croisa les mains et comm",M_1116
Alice,Alice,""" but it all came different!"" Alice replied in a very melanc","us la meme chose, >> repondit Alice d'un ton chagrin.

<< Re",M_1113
Alice,Alice,"re the trial's over!"" thought Alice.

One of the jurors had ","t la fin du proces ! >> pensa Alice.

Un des jures avait un ",M_2887
Alice,Alice,"oice, (""That's Bill,"" thought Alice,) ""Well, I hardly know--"," la voix de Jacques, >> pensa Alice.) << Je n'en sais vraime",M_932
Alice,Alice,"hat squeaked. This of course, Alice could _not_ stand, and s","vait un crayon qui grincait ; Alice, vous le pensez bien, ne",M_2888
Alice,Alice,"hat attempt proved a failure. Alice heard it say to itself ""","orte, la tentative fut vaine. Alice entendit le Lapin qui mu",M_850
Alice,Alice," the door opened inwards, and Alice's elbow was pressed hard"," en dedans 
et que le coude d'Alice etait fortement appuye c",M_849
Alice,Alice,"

""Don't talk nonsense,"" said Alice more boldly: ""you know y"," pas de sottises, >> repliqua Alice plus hardiment ; << vous",M_2947
Alice,Alice,"_here_.""

""But then,"" thought Alice, ""shall I _never_ get an","e. >>
<< Mais alors, >> pensa Alice, << ne serai-je donc jam",M_827
Alice,Alice,"_ become of me?""

Luckily for Alice, the little magic bottle","evenir ? >>
Heureusement pour Alice, la petite bouteille mag",M_810
Alice,Alice,"loves.

""How queer it seems,"" Alice said to herself, ""to be ","<< Que c'est drole, >> se dit Alice, << de faire des commiss",M_756
Alice,Alice,"s and a fan! Quick, now!"" And Alice was so much frightened t"," ! Allons, depechons-nous. >>
Alice eut si grand' peur qu'el",M_735
Alice,Alice,"
Very soon the Rabbit noticed Alice, as she went hunting abo","ru.

Bientot le Lapin apercut Alice qui furetait ; il lui cr",M_729
Alice,Alice,"have dropped them, I wonder?"" Alice guessed in a moment that",je bien les avoir perdus ? >> Alice devina tout de suite qu',M_725
Alice,Alice," you any more!"" And here poor Alice began to cry again, for ",-je jamais ? >> Ici la pauvre Alice se reprit a pleurer ; el,M_705
Alice,Alice,"texts they all moved off, and Alice was soon left alone.

""I","n autre, chacun s'esquiva, et Alice se trouva bientot seule.",M_692
Alice,Alice,"I've seen that done,"" thought Alice. ""I've so often read in ","nte d'avoir vu cela, >> pensa Alice. << J'ai souvent lu dans",M_3000
Alice,Alice,"inah here, I know I do!"" said Alice aloud, addressing nobody"," ! si Dinah etait ici, >> dit Alice tout haut sans s'adresse",M_676
Alice,Alice,"rt speech, they all cheered.

Alice thought the whole thing "," le monde cria << Hourra ! >>
Alice trouvait tout cela bien ",M_602
Alice,Alice,"lice.

""Only a thimble,"" said Alice sadly.

""Hand it over he"," de ; pas autre chose, >> dit Alice d'un ton chagrin.


<< F",M_597
Alice,Alice,"cket?"" he went on, turning to Alice.

""Only a thimble,"" said","inua-t-il en se tournant vers Alice.

<< Un de ; pas autre c",M_596
Alice,Alice,"ite makes my forehead ache!""

Alice watched the White Rabbit","e fait trop mal au front ! >>
Alice regardait le Lapin Blanc",M_3056
Alice,Alice,"fused way, ""Prizes! Prizes!""

Alice had no idea what to do, ",": << Les prix ! Les prix ! >>
Alice ne savait que faire ; po",M_585
Alice,Alice,","" said the Dodo, pointing to Alice with one finger; and the","repondit le Dodo, en montrant Alice du doigt, et toute la tr",M_583
Alice,Alice,"ce's Evidence


""Here!"" cried Alice, quite forgetting in the"," D'ALICE.

<< Voila ! >> cria Alice, oubliant tout a fait da",M_3065
Alice,Alice, said the Rabbit's voice; and Alice called out as loud as sh,"ison, >> dit le Lapin.

Alors Alice cria de toutes ses force",M_934
Alice,Alice,"n to a day-school, too,"" said Alice; ""you needn't be so prou","ai ete tous les jours, >> dit Alice ; << il n'y a pas de quo",M_2557
Alice,Alice,"began moving about again, and Alice heard the Rabbit say, ""A"," et venues recommencerent, et Alice entendit le Lapin, qui d",M_942
Alice,Alice,"
""I'm afraid I am, sir,"" said Alice; ""I can't remember thing","
<< Je le crains bien, >> dit Alice. << Je ne peux plus me s",M_1108
Alice,Alice,"e off,"" said the Gryphon: and Alice was only too glad to do ","er la, >> dit le Griffon ; et Alice ne demanda pas mieux.

<",M_2832
Alice,Alice,"ried the Gryphon, and, taking Alice by the hand, it hurried ","cria le Griffon ; et, prenant Alice par la main, il se mit a",M_2849
Alice,Alice,"he song.

""What trial is it?"" Alice panted as she ran; but t",st que ce proces ? >> demanda Alice hors d'haleine ; mais le,M_2850
Alice,Alice,"rpillar.

""Is that all?"" said Alice, swallowing down her ang","lle.

<< Est-ce tout ? >> dit Alice, cherchant a retenir sa ",M_1094
Alice,Alice,"sounded promising, certainly: Alice turned and came back aga","etait engageante assurement ; Alice revint sur ses pas.

<< ",M_1091
Alice,Alice,eginning of the conversation. Alice felt a little irritated ,"encement de la conversation.

Alice, un peu irritee du parle",M_1077
Alice,Alice," her, to pass away the time.

Alice had never been in a cour","

C'etait la premiere fois qu'Alice se trouvait dans une cou",M_2861
Alice,Alice,"lings may be different,"" said Alice; ""all I know is, it woul","fferentes des miennes, >> dit Alice. << Tout ce que je sais,",M_1071
Alice,Alice,"aven't found it so yet,"" said Alice; ""but when you have to t","us pas encore apercue, >> dit Alice. << Mais quand vous devi",M_1062
Alice,Alice,"I can't put it more clearly,"" Alice replied very politely, """," plus clairement, >> repliqua Alice fort poliment ; << car d",M_1057
Alice,Alice,"self_, I'm afraid, sir,"" said Alice, ""because I'm not myself","uvoir pas m'expliquer, >> dit Alice, << car, voyez-vous, je ",M_1049
Alice,Alice,"g opening for a conversation. Alice replied, rather shyly, ""","te d'entamer la conversation. Alice repondit, un peu confuse",M_1034
Alice,Alice,"that's the jury-box,"" thought Alice, ""and those twelve creat","est le banc du jury, >> pensa Alice ; << et ces douze creatu",M_2868
Alice,Alice,"rpillar


The Caterpillar and Alice looked at each other for","UNE CHENILLE.

La Chenille et Alice se considererent un inst",M_1028
Alice,Alice,"question certainly was, what? Alice looked all round her at ",n etait bien de savoir quoi ? Alice regarda tout autour d'el,M_1015
Alice,Alice,"ar little puppy it was!"" said Alice, as she leant against a ","bien joli petit chien, >> dit Alice, en s'appuyant sur un bo",M_1003
Alice,Alice,"t thing I've got to do,"" said Alice to herself, as she wande","ose que j'aie a faire, >> dit Alice en errant ca et la dans ",M_971
Alice,Alice,ttle. They all made a rush at Alice the moment she appeared;,le. Tous se precipiterent sur Alice aussitot qu'elle parut ;,M_965
Alice,Alice,"oduced another dead silence.

Alice noticed with some surpri","t encore un profond silence.

Alice remarqua, avec quelque s",M_951
Alice,Alice,"lates. ""What are they doing?"" Alice whispered to the Gryphon",st-ce qu'ils font la ? >> dit Alice a l'oreille du Griffon. ,M_2876
Alice,Alice,"barrowful of _what?_"" thought Alice; but she had not long to", brouettee de quoi ? >> pensa Alice. Il ne lui resta bientot,M_944
Alice,Alice,"the trial.""

""Stupid things!"" Alice began in a loud, indigna"," >>
<< Les niais ! >> s'ecria Alice d'un ton indigne, mais e",M_2879
Alice,Alice,"a dead silence instantly, and Alice thought to herself, ""I w",ls faire a present ? >> pensa Alice. << S'ils avaient un peu,M_938
Alice,Alice,"hat _is_ a Caucus-race?"" said Alice; not that she wanted muc",e course cocasse ? >> demanda Alice ; non qu'elle tint beauc,M_566
Alice,Alice," child away with me,"" thought Alice, ""they're sure to kill i","cet enfant avec moi, >> pensa Alice, << ils le tueront bien ",M_1477
Alice,Alice, small for a baby: altogether Alice did not like the look of,es-petits pour un bebe. Enfin Alice ne trouva pas du tout de,M_1487
Alice,Alice,"gs and Queens, and among them Alice recognised the White Rab","r la plupart. Dans le nombre, Alice reconnut le Lapin Blanc.",M_2028
Alice,Alice," sound of many footsteps, and Alice looked round, eager to s","ait un grand bruit de pas, et Alice se retourna, desireuse d",M_2024
Alice,Alice,"doesn't matter much,"" thought Alice, ""as all the arches are ","ait pas grand'chose, >> pensa Alice, << puisque toutes les a",M_2249
Alice,Alice,"ry uncomfortable.

The moment Alice appeared, she was appeal","-mal a l'aise.

Des que parut Alice, ils en appelerent a ell",M_2260
Alice,Alice,"w.

""Would you tell me,"" said Alice, a little timidly, ""why ","eignez ces roses ? >> demanda Alice un peu timidement.

Cinq",M_2008
Alice,Alice," his eye chanced to fall upon Alice, as she stood watching t","ards tomberent par hasard sur Alice, qui restait la a les re",M_2002
Alice,Alice," look so grave and anxious.)

Alice could think of nothing e","'air si grave et si inquiet.)
Alice ne trouva rien de mieux ",M_2273
Alice,Alice,"it, busily painting them red. Alice thought this a very curi",rain de les peindre en rouge. Alice s'avanca pour les regard,M_1975
Alice,Alice,"the milk-jug into his plate.

Alice did not wish to offend t","r le lait dans son assiette.

Alice, craignant d'offenser le",M_1908
Alice,Alice,dvantage from the change: and Alice was a good deal worse of,e seul qui gagnat au change ; Alice se trouva bien plus mal ,M_1906
Alice,Alice,"her side of the garden, where Alice could see it trying in a","de l'autre cote du jardin, ou Alice le voyait qui faisait de",M_2246
Alice,Alice,"nto the Dormouse's place, and Alice rather unwillingly took ","vre prit la place du Loir, et Alice prit, d'assez mauvaise g",M_1903
Alice,Alice,"d her arm affectionately into Alice's, and they walked off t","alement son bras sous celui d'Alice, et elles s'eloignerent ",M_2297
Alice,Alice,"nd they walked off together.

Alice was very glad to find he","lles s'eloignerent ensemble.

Alice etait bien contente de l",M_2298
Alice,Alice,"e Hatter asked triumphantly.

Alice did not quite know what ","apelier d'un air triomphant.

Alice ne savait pas trop que r",M_1877
Alice,Alice,"tly.

""I've had nothing yet,"" Alice replied in an offended t","pas pris du tout, >> repondit Alice d'un air offense. << Je ",M_1869
Alice,Alice," tea,"" the March Hare said to Alice, very earnestly.

""I've ","us de the, >> dit le Lievre a Alice avec empressement.

<< J",M_1867
Alice,Alice,"""What did they live on?"" said Alice, who always took a great"," quoi vivaient-elles ? >> dit Alice, qui s'interessait toujo",M_1856
Alice,Alice,"e.

""Yes, please do!"" pleaded Alice.

""And be quick about it"," Oui, je vous en prie, >> dit Alice d'un ton suppliant.

<< ",M_1850
Alice,Alice,"fraid I don't know one,"" said Alice, rather alarmed at the p","ur de n'en pas savoir, >> dit Alice, que cette proposition a",M_1845
Alice,Alice,"t.""

""Perhaps it hasn't one,"" Alice ventured to remark.

""Tu","il pas, >> se hasarda de dire Alice.

<< Bah, bah, mon enfan",M_2322
Alice,Alice,"squeezed herself up closer to Alice's side as she spoke.

Al"," Et elle se serra plus pres d'Alice en parlant.

Alice n'aim",M_2328
Alice,Alice,"""

""What did they draw?"" said Alice, quite forgetting her pr","-elles pu s'en tirer ? >> dit Alice, oubliant tout a fait sa",M_1895
Alice,Alice,"her hedgehog, which seemed to Alice an excellent opportunity",tre herisson ; ce qui parut a Alice une excellente occasion ,M_2244
Alice,Alice,"HE KING AND QUEEN OF HEARTS.

Alice was rather doubtful whet","LE ROI ET LA REINE DE COEUR.

Alice ne savait pas au juste s",M_2035
Alice,Alice,"e procession came opposite to Alice, they all stopped and lo","cession fut arrivee en face d'Alice, tout le monde s'arreta ",M_2042
Alice,Alice,"ow voice.

""Not at all,"" said Alice: ""she's so extremely--"" ","asse.

<< Pas du tout, >> dit Alice. << Elle est si -- >> Au",M_2187
Alice,Alice," me like that!"" He got behind Alice as he spoke.

""A cat may"," ! >> Il s'etait mis derriere Alice en disant ces mots.

<< ",M_2213
Alice,Alice,"cat may look at a king,"" said Alice. ""I've read that in some"," bien regarder un roi, >> dit Alice. << J'ai lu quelque chos",M_2215
Alice,Alice,"ink they play at all fairly,"" Alice began, in rather a compl","u tout franc jeu, >> commenca Alice d'un ton de mecontenteme",M_2177
Alice,Alice,"whole head appeared, and then Alice put down her flamingo, a","montra tout entiere, et alors Alice posa a terre son flamant",M_2171
Alice,Alice,"enough for it to speak with.

Alice waited till the eyes app","ouche pour qu'il put parler.

Alice attendit que les yeux pa",M_2167
Alice,Alice,"ad!"" about once in a minute.

Alice began to feel very uneas","une fois environ par minute.

Alice commenca a se sentir tre",M_2149
Alice,Alice,"to other parts of the ground, Alice soon came to the conclus","r d'un autre cote du terrain, Alice en vint bientot a cette ",M_2145
Alice,Alice,"arches.

The chief difficulty Alice found at first was in ma","s.

Ce qui embarrassa le plus Alice au commencement du jeu, ",M_2136
Alice,Alice,"e or two, and the game began. Alice thought she had never se","place et la partie commenca.

Alice n'avait de sa vie vu de ",M_2133
Alice,Alice,"n's ears--"" the Rabbit began. Alice gave a little scream of ","Reine, >> commenca le Lapin. (Alice fit entendre un petit ec",M_2123
Alice,Alice,"execution.""

""What for?"" said Alice.

""Did you say 'What a p","< Pour quelle raison ? >> dit Alice.

<< Avez-vous dit : << ",M_2113
Alice,Alice," into her face.

""Very,"" said Alice: ""--where's the Duchess?","nquiet.

<< Bien beau, >> dit Alice. << Ou est la Duchesse ?",M_2108
Alice,Alice," then!"" roared the Queen, and Alice joined the procession, w",enez ! >> hurla la Reine ; et Alice se joignit a la processi,M_2103
Alice,Alice,"rs were silent, and looked at Alice, as the question was evi","ufflerent mot, et regarderent Alice, car, evidemment, c'etai",M_2099
Alice,Alice,"You shan't be beheaded!"" said Alice, and she put them into a","e serez pas decapites, >> dit Alice ; et elle les mit dans u",M_2092
Alice,Alice,"rtunate gardeners, who ran to Alice for protection.

""You sh","e mettre sous la protection d'Alice.

<< Vous ne serez pas d",M_2091
Alice,Alice,"eagerly, and he hurried off.

Alice thought she might as wel","il s'en alla precipitamment.

Alice pensa qu'elle ferait bie",M_2233
Alice,Alice,"ead! Off--""

""Nonsense!"" said Alice, very loudly and decided"," ! >>
<< Quelle idee ! >> dit Alice tres-haut et d'un ton de",M_2069
Alice,Alice,"

""How should _I_ know?"" said Alice, surprised at her own co",vous que je le sache ? >> dit Alice avec un courage qui la s,M_2064
Alice,Alice,"so please your Majesty,"" said Alice very politely; but she a","plait a Votre Majeste, >> dit Alice fort poliment. Mais elle",M_2056
Alice,Alice,"ur name, child?""

""My name is Alice, so please your Majesty,","m, petite ? >>
<< Je me nomme Alice, s'il plait a Votre Maje",M_2054
Alice,Alice," impatiently; and, turning to Alice, she went on, ""What's yo","tience ; et, se tournant vers Alice, elle continua : << Votr",M_2049
Alice,Alice,"o Alice's side as she spoke.

Alice did not much like keepin","lus pres d'Alice en parlant.

Alice n'aimait pas trop qu'ell",M_2330
Alice,Alice," height to rest her chin upon Alice's shoulder, and it was a","yer son menton sur l'epaule d'Alice, et c'etait un menton tr",M_2335
Alice,Alice,"eard something like it,"" said Alice.

""It goes on, you know,","uelque chose comme ca, >> dit Alice.

<< Vous savez la suite",M_1817
Alice,Alice,"go round!'""

""Somebody said,"" Alice whispered, ""that it's do","< Quelqu'un a dit, >> murmura Alice, << que c'est quand chac",M_2341
Alice,Alice," cat without a grin,"" thought Alice; ""but a grin without a c","disparu.

<< Certes, >> pensa Alice, << j'ai souvent vu un c",M_1625
Alice,Alice,"te out of breath, and said to Alice, ""Have you seen the Mock","oute hors d'haleine, et dit a Alice : << Avez-vous vu la Fau",M_2438
Alice,Alice,"Mock Turtle yet?""

""No,"" said Alice. ""I don't even know what","se-Tortue ? >>
<< Non, >> dit Alice ; << je ne sais meme pas",M_2441
Alice,Alice,"sk.""

""It turned into a pig,"" Alice quietly said, just as if","n porc, >> dit tranquillement Alice, comme si le Chat etait ",M_1596
Alice,Alice," said the Cat, and vanished.

Alice was not much surprised a","it le Chat ; et il disparut.

Alice ne fut pas tres-etonnee,",M_1589
Alice,Alice,"
As they walked off together, Alice heard the King say in a ","elles s'en allaient ensemble, Alice entendit le Roi dire a v",M_2451
Alice,Alice,"ould like it very much,"" said Alice, ""but I haven't been inv"," ferait grand plaisir, >> dit Alice, << mais je n'ai pas ete",M_1585
Alice,Alice," that?""

""I suppose so,"" said Alice.

""Well, then,"" the Cat ",". >>
<< Je le suppose, >> dit Alice.

<< Eh bien ! >> contin",M_1570
Alice,Alice,""" and she walked off, leaving Alice alone with the Gryphon. ", ; >> et elle partit laissant Alice seule avec le Griffon. L,M_2467
Alice,Alice,Alice alone with the Gryphon. Alice did not quite like the l,"animal ne plaisait pas trop a Alice, mais, tout bien conside",M_2469
Alice,Alice,"ou wouldn't have come here.""

Alice didn't think that proved","a ne seriez pas venue ici. >>
Alice pensa que cela ne prouva",M_1563
Alice,Alice,"want to go among mad people,"" Alice remarked.

""Oh, you can'","ter des fous, >> fit observer Alice.

<< Vous ne pouvez pas ",M_1553
Alice,Alice,"phon, half to itself, half to Alice.

""What _is_ the fun?"" s",", moitie a part soi, moitie a Alice.

<< Quelle est la farce",M_2479
Alice,Alice,"e.

""What _is_ the fun?"" said Alice.

""Why, _she_,"" said the","lle est la farce ? >> demanda Alice.

<< Elle ! >> dit le Gr",M_2480
Alice,Alice," you only walk long enough.""

Alice felt that this could not"," marchiez assez longtemps. >>
Alice comprit que cela etait i",M_1546
Alice,Alice,"o long as I get _somewhere_,"" Alice added as an explanation.","rrive quelque part, >> ajouta Alice en explication.

<< Cela",M_1542
Alice,Alice,y sobbing of the Mock Turtle. Alice was very nearly getting ,ntinuels de la Fausse-Tortue. Alice etait sur le point de se,M_2522
Alice,Alice,"sat silent and looked at poor Alice, who felt ready to sink "," les yeux fixes sur la pauvre Alice, qui se sentait prete a ",M_2542
Alice,Alice,"it's pleased so far,"" thought Alice, and she went on. ""Would","ent jusqu'a present, >> pensa Alice, et elle continua : << D",M_1530
Alice,Alice," Cat only grinned when it saw Alice. It looked good-natured,",Le Chat grimaca en apercevant Alice. Elle trouva qu'il avait,M_1522
Alice,Alice,"r said I didn't!"" interrupted Alice.

""You did,"" said the Mo"," pas dit cela, >> interrompit Alice.

<< Vous l'avez dit, >>",M_2549
Alice,Alice,"e!"" added the Gryphon, before Alice could speak again. The M","> ajouta le Griffon, avant qu'Alice put reprendre la parole.",M_2554
Alice,Alice,"n for some while in silence.

Alice was just beginning to th","hemin un instant en silence.

Alice commencait a dire en ell",M_1495
Alice,Alice,"cept the King, the Queen, and Alice, were in custody and und","ion du Roi, de la Reine, et d'Alice, etaient arretes et cond",M_2436
Alice,Alice,"

The baby grunted again, and Alice looked very anxiously in",">>
Le bebe grogna de nouveau. Alice le regarda au visage ave",M_1484
Alice,Alice,"le for the Dormouse,"" thought Alice; ""only, as it's asleep, ","genant pour le Loir, >> pensa Alice. << Mais comme il est en",M_1647
Alice,Alice,"said in an encouraging tone.

Alice looked all round the tab","e Lievre d'un ton engageant.

Alice regarda tout autour de l",M_1653
Alice,Alice,"ld be grand, certainly,"" said Alice thoughtfully: ""but then-","greable, certainement, >> dit Alice d'un air pensif ; << mai",M_1797
Alice,Alice,"ng her sharp little chin into Alice's shoulder as she added,","menton pointu dans l'epaule d'Alice, en ajoutant : << Et la ",M_2344
Alice,Alice,"xperiment?""

""He might bite,"" Alice cautiously replied, not "," pourrait mordre, >> repondit Alice, qui ne se sentait pas l",M_2358
Alice,Alice,"
""Only mustard isn't a bird,"" Alice remarked.

""Right, as us","st pas un oiseau, >> repondit Alice.

<< Vous avez raison, c",M_2360
Alice,Alice,"Nor I,"" said the March Hare.

Alice sighed wearily. ""I think"," non plus, >> dit le Lievre.

Alice soupira d'ennui. << Il m",M_1761
Alice,Alice,"e again.

""No, I give it up,"" Alice replied: ""what's the ans","Non, j'y renonce, >> repondit Alice ; << quelle est la repon",M_1757
Alice,Alice,""" the Hatter said, turning to Alice again.

""No, I give it u",", se tournant de nouveau vers Alice.

<< Non, j'y renonce, >",M_1755
Alice,Alice,"s a mineral, I _think_,"" said Alice.

""Of course it is,"" sai"," un mineral, je crois, >> dit Alice.

<< Assurement, >> dit ",M_2364
Alice,Alice,"ould understand that better,"" Alice said very politely, ""if ","mprendrais mieux cela, >> dit Alice fort poliment, << si je ",M_2381
Alice,Alice,"th _mine_,"" said the Hatter.

Alice felt dreadfully puzzled.","mienne, >> dit le Chapelier.

Alice se trouva fort embarrass",M_1739
Alice,Alice,"ear it is?""

""Of course not,"" Alice replied very readily: ""b","Non, assurement ! >> repliqua Alice sans hesiter. << Mais c'",M_1736
Alice,Alice,", and holding it to his ear.

Alice considered a little, and","l'approchant de son oreille.

Alice reflechit un instant et ",M_1717
Alice,Alice,"d into hers began to tremble. Alice looked up, and there sto",le sien commenca de trembler. Alice leva les yeux et vit la ,M_2407
Alice,Alice,"at silent for a minute, while Alice thought over all she cou","es minutes. Pendant ce temps, Alice repassa dans son esprit ",M_1708
Alice,Alice," March Hare went on.

""I do,"" Alice hastily replied; ""at lea","je fais, >> repliqua vivement Alice. << Du moins -- je veux ",M_1688
Alice,Alice,"rch Hare.

""Exactly so,"" said Alice.

""Then you should say w","

<< Precisement, >> repondit Alice.

<< Alors vous devriez ",M_1683
