eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,fr_text,fr_startByte,fr_endByte
booknlp,COREF,40,herself,17286,17293,0,47,2,M_375,"""That _was_ a narrow escape!"" said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence;","<< Je viens de l'echapper belle, >> dit Alice, tout emue de ce brusque changement, mais bien aise de voir qu'elle existait encore.",152,aligned,18596,18723,17178,17313,"Je viens de l'echapper belle, >> dit Alice, tout emue de ce brusque changement, mais bien aise de voir qu'elle existait encore. ","That _was_ a narrow escape!"" said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; ",elle,18702.0,18706.0
booknlp,COREF,40,she,17344,17347,0,47,2,M_376,and she ran with all speed back to the little door:,Elle se hata de courir vers la petite porte ;,155,aligned,18762,18807,17340,17391,Elle se hata de courir vers la petite porte ; ,and she ran with all speed back to the little door: ,Elle,18762.0,18766.0
booknlp,COREF,40,she,17653,17656,0,48,2,M_377,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water.","A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton.",146,aligned,19069,19149,17650,17760,"A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton. ","As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. ",,,
booknlp,COREF,40,her,17674,17677,0,48,2,M_378,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water.","A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton.",146,aligned,19069,19149,17650,17760,"A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton. ","As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. ",,,
booknlp,COREF,40,she,17723,17726,0,48,2,M_379,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water.","A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton.",146,aligned,19069,19149,17650,17760,"A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton. ","As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. ",la,19107.0,19109.0
booknlp,COREF,40,her,17737,17740,0,48,2,M_380,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water.","A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton.",146,aligned,19069,19149,17650,17760,"A ces mots son pied glissa, et flac ! La voila dans l'eau salee jusqu'au menton. ","As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. ",,,
booknlp,COREF,40,Her,17761,17764,0,48,2,M_381,"Her first idea was that she had somehow fallen into the sea,",Elle se crut d'abord tombee dans la mer.,145,aligned,19150,19190,17761,17821,Elle se crut d'abord tombee dans la mer. ,"Her first idea was that she had somehow fallen into the sea, ",Elle,19150.0,19154.0
booknlp,COREF,40,she,17785,17788,0,48,2,M_382,"Her first idea was that she had somehow fallen into the sea,",Elle se crut d'abord tombee dans la mer.,145,aligned,19150,19190,17761,17821,Elle se crut d'abord tombee dans la mer. ,"Her first idea was that she had somehow fallen into the sea, ",Elle,19150.0,19154.0
booknlp,COREF,40,I,17840,17841,0,48,2,M_383,"""and in that case I can go back by railway,"" she said to herself.","<< Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.",144,aligned,19194,19264,17823,17887,"Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.
","and in that case I can go back by railway,"" she said to herself. ",je,19206.0,19208.0
booknlp,COREF,40,she,17867,17870,0,48,2,M_384,"""and in that case I can go back by railway,"" she said to herself.","<< Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.",144,aligned,19194,19264,17823,17887,"Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.
","and in that case I can go back by railway,"" she said to herself. ",se,19252.0,19254.0
booknlp,COREF,40,herself,17879,17886,0,48,2,M_385,"""and in that case I can go back by railway,"" she said to herself.","<< Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.",144,aligned,19194,19264,17823,17887,"Dans ce cas je retournerai chez nous en chemin de fer, >> se dit-elle.
","and in that case I can go back by railway,"" she said to herself. ",se,19252.0,19254.0
exp,exp_name,alice,Alice,17889,17894,0,48,2,M_386,"(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)","(Alice avait ete au bord de la mer une fois en sa vie, et se figurait que sur n'importe quel point des cotes se trouvent un grand nombre de cabines pour les baigneurs, des enfants qui font des trous dans le sable avec des pelles en bois, une longue ligne de maisons garnies, et derriere ces maisons une gare de chemin de fer.)",143,aligned,19269,19593,17889,18190,"Alice avait ete au bord de la mer une fois en sa vie, et se figurait que sur n'importe quel point des cotes se trouvent un grand nombre de cabines pour les baigneurs, des enfants qui font des trous dans le sable avec des pelles en bois, une longue ligne de maisons garnies, et derriere ces maisons une gare de chemin de fer.)","Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)",se,19326.0,19328.0
booknlp,COREF,40,her,17927,17930,0,48,2,M_387,"(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)","(Alice avait ete au bord de la mer une fois en sa vie, et se figurait que sur n'importe quel point des cotes se trouvent un grand nombre de cabines pour les baigneurs, des enfants qui font des trous dans le sable avec des pelles en bois, une longue ligne de maisons garnies, et derriere ces maisons une gare de chemin de fer.)",143,aligned,19269,19593,17889,18190,"Alice avait ete au bord de la mer une fois en sa vie, et se figurait que sur n'importe quel point des cotes se trouvent un grand nombre de cabines pour les baigneurs, des enfants qui font des trous dans le sable avec des pelles en bois, une longue ligne de maisons garnies, et derriere ces maisons une gare de chemin de fer.)","Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)",sa,19315.0,19317.0
booknlp,COREF,40,she,18201,18204,0,48,2,M_388,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.",156,aligned,19595,19727,18192,18300,"Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.
","However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.
",elle,19600.0,19604.0
booknlp,COREF,40,she,18224,18227,0,48,2,M_389,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.",156,aligned,19595,19727,18192,18300,"Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.
","However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.
",elle,19600.0,19604.0
booknlp,COREF,40,she,18259,18262,0,48,2,M_390,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.",156,aligned,19595,19727,18192,18300,"Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.
","However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.
",elle,19600.0,19604.0
booknlp,COREF,40,she,18277,18280,0,48,2,M_391,"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.","Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.",156,aligned,19595,19727,18192,18300,"Mais elle comprit bientot qu'elle etait dans une mare formee des larmes qu'elle avait pleurees, quand elle avait neuf pieds de haut.
","However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.
",elle,19670.0,19674.0
booknlp,COREF,40,I,18303,18304,0,49,2,M_392,"""I wish I hadn't cried so much!"" ~~~ said Alice, as she swam about, trying to find her way out.","<< Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la.",157,aligned,19732,19850,18303,18393,"Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la. ","I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ",Je,19732.0,19734.0
booknlp,COREF,40,I,18310,18311,0,49,2,M_393,"""I wish I hadn't cried so much!"" ~~~ said Alice, as she swam about, trying to find her way out.","<< Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la.",157,aligned,19732,19850,18303,18393,"Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la. ","I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ",Je,19732.0,19734.0
exp,exp_name,alice,Alice,18340,18345,0,49,2,M_394,"""I wish I hadn't cried so much!"" ~~~ said Alice, as she swam about, trying to find her way out.","<< Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la.",157,aligned,19732,19850,18303,18393,"Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la. ","I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ",,,
booknlp,COREF,40,she,18350,18353,0,49,2,M_395,"""I wish I hadn't cried so much!"" ~~~ said Alice, as she swam about, trying to find her way out.","<< Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la.",157,aligned,19732,19850,18303,18393,"Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la. ","I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ",,,
booknlp,COREF,40,her,18381,18384,0,49,2,M_396,"""I wish I hadn't cried so much!"" ~~~ said Alice, as she swam about, trying to find her way out.","<< Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la.",157,aligned,19732,19850,18303,18393,"Je voudrais bien n'avoir pas tant pleure, >> dit Alice tout en nageant de cote et d'autre pour tacher de sortir de la. ","I wish I hadn't cried so much!"" said Alice, as she swam about, trying to find her way out. ",,,
booknlp,COREF,40,I,18395,18396,0,49,2,M_397,"""I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure!""","""<< Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! >>",159,aligned,19854,19953,18395,18513,"Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! ","I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! ",Je,19854.0,19856.0
booknlp,COREF,40,I,18427,18428,0,49,2,M_398,"""I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure!""","""<< Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! >>",159,aligned,19854,19953,18395,18513,"Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! ","I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! ",Je,19854.0,19856.0
booknlp,COREF,40,my,18458,18460,0,49,2,M_399,"""I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure!""","""<< Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! >>",159,aligned,19854,19953,18395,18513,"Je vais en etre punie sans doute, en me noyant dans mes propres larmes. C'est cela qui sera drole ! ","I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! ",mes,19906.0,19909.0
booknlp,COREF,40,she,18563,18566,0,50,2,M_400,"""Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was:""","""Au meme instant elle entendit patauger dans la mare a quelques pas de la, et elle nagea de ce cote pour voir ce que c'etait.""",161,aligned,19995,20119,18553,18673,"Au meme instant elle entendit patauger dans la mare a quelques pas de la, et elle nagea de ce cote pour voir ce que c'etait. ","Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: ",elle,20011.0,20015.0
booknlp,COREF,40,she,18633,18636,0,50,2,M_401,"""Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was:""","""Au meme instant elle entendit patauger dans la mare a quelques pas de la, et elle nagea de ce cote pour voir ce que c'etait.""",161,aligned,19995,20119,18553,18673,"Au meme instant elle entendit patauger dans la mare a quelques pas de la, et elle nagea de ce cote pour voir ce que c'etait. ","Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: ",elle,20072.0,20076.0
booknlp,COREF,40,she,18683,18686,0,50,2,M_402,"""at first she thought it must be a walrus or hippopotamus,""","""Elle pensa d'abord que ce devait etre un cheval marin ou hippopotame ;""",162,aligned,20120,20190,18674,18731,Elle pensa d'abord que ce devait etre un cheval marin ou hippopotame ; ,"at first she thought it must be a walrus or hippopotamus, ",Elle,20120.0,20124.0
booknlp,COREF,40,she,18741,18744,0,50,2,M_403,"""but then she remembered how small she was now,""","""puis elle se rappela combien elle etait petite maintenant,""",158,aligned,20191,20249,18732,18778,"puis elle se rappela combien elle etait petite maintenant, ","but then she remembered how small she was now, ",elle,20196.0,20200.0
booknlp,COREF,40,she,18766,18769,0,50,2,M_404,"""but then she remembered how small she was now,""","""puis elle se rappela combien elle etait petite maintenant,""",158,aligned,20191,20249,18732,18778,"puis elle se rappela combien elle etait petite maintenant, ","but then she remembered how small she was now, ",elle,20196.0,20200.0
booknlp,COREF,40,she,18783,18786,0,50,2,M_405,"""and she soon made out that it was only a mouse that had slipped in like herself.""","""et decouvrit bientot que c'etait tout simplement une souris qui, comme elle, avait glisse dans la mare.""",163,aligned,20250,20353,18779,18859,"et decouvrit bientot que c'etait tout simplement une souris qui, comme elle, avait glisse dans la mare.
","and she soon made out that it was only a mouse that had slipped in like herself.
",elle,20321.0,20325.0
booknlp,COREF,40,herself,18851,18858,0,50,2,M_406,"""and she soon made out that it was only a mouse that had slipped in like herself.""","""et decouvrit bientot que c'etait tout simplement une souris qui, comme elle, avait glisse dans la mare.""",163,aligned,20250,20353,18779,18859,"et decouvrit bientot que c'etait tout simplement une souris qui, comme elle, avait glisse dans la mare.
","and she soon made out that it was only a mouse that had slipped in like herself.
",elle,20321.0,20325.0
exp,exp_name,alice,Alice,18900,18905,0,51,2,M_407,"""Would it be of any use, now,"" thought Alice, ""to speak to this mouse?",<< Si j'adressais la parole a cette souris ?,164,aligned,20358,20399,18862,18931,Si j'adressais la parole a cette souris ? ,"Would it be of any use, now,"" thought Alice, ""to speak to this mouse? ",,,
pdnc,qID,Q30-1,this mouse,18920,18930,18,51,2,M_408,"""Would it be of any use, now,"" thought Alice, ""to speak to this mouse?",<< Si j'adressais la parole a cette souris ?,164,aligned,20358,20399,18862,18931,Si j'adressais la parole a cette souris ? ,"Would it be of any use, now,"" thought Alice, ""to speak to this mouse? ",cette souris,20385.0,20397.0
booknlp,COREF,40,I,18980,18981,0,51,2,M_409,"Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying.""","Tout est si extraordinaire ici qu'il se pourrait bien qu'elle sut parler : dans tous les cas, il n'y a pas de mal a essayer.",165,aligned,20400,20524,18932,19059,"Tout est si extraordinaire ici qu'il se pourrait bien qu'elle sut parler : dans tous les cas, il n'y a pas de mal a essayer. ","Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there's no harm in trying.""",,,
booknlp,COREF,40,she,19064,19067,0,51,2,M_410,"So she began: ""O Mouse, do you know the way out of this pool?",">> Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ?",166,aligned,20528,20615,19061,19122,"Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ? ","So she began: ""O Mouse, do you know the way out of this pool? ",Elle,20528.0,20532.0
pdnc,qID,Q31-0,Mouse,19078,19083,18,51,2,M_411,"So she began: ""O Mouse, do you know the way out of this pool?",">> Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ?",166,aligned,20528,20615,19061,19122,"Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ? ","So she began: ""O Mouse, do you know the way out of this pool? ",Souris,20554.0,20560.0
pdnc,qID,Q31-0,you,19088,19091,18,51,2,M_412,"So she began: ""O Mouse, do you know the way out of this pool?",">> Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ?",166,aligned,20528,20615,19061,19122,"Elle commenca donc : << O Souris, savez-vous comment on pourrait sortir de cette mare ? ","So she began: ""O Mouse, do you know the way out of this pool? ",vous,20568.0,20572.0
booknlp,COREF,40,I,19123,19124,0,51,2,M_413,"'I am very tired of swimming about here, O Mouse!""","'Je suis bien fatiguee de nager, O Souris !'",173,aligned,20616,20658,19123,19171,"Je suis bien fatiguee de nager, O Souris ! ","I am very tired of swimming about here, O Mouse!""",Je,20616.0,20618.0
pdnc,qID,Q31-0,Mouse,19165,19170,18,51,2,M_414,"'I am very tired of swimming about here, O Mouse!""","'Je suis bien fatiguee de nager, O Souris !'",173,aligned,20616,20658,19123,19171,"Je suis bien fatiguee de nager, O Souris ! ","I am very tired of swimming about here, O Mouse!""",Souris,20650.0,20656.0
exp,exp_name,alice,Alice,19174,19179,0,51,2,M_415,"""(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!"")""","'(Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. >>)'",168,aligned,20663,20906,19174,19393,"Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. ","Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!""",elle,20784.0,20788.0
booknlp,COREF,40,she,19239,19242,0,51,2,M_416,"""(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!"")""","'(Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. >>)'",168,aligned,20663,20906,19174,19393,"Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. ","Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!""",elle,20784.0,20788.0
booknlp,COREF,40,she,19283,19286,0,51,2,M_417,"""(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!"")""","'(Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. >>)'",168,aligned,20663,20906,19174,19393,"Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. ","Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!""",elle,20784.0,20788.0
booknlp,COREF,40,her,19313,19316,0,51,2,M_418,"""(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!"")""","'(Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. >>)'",168,aligned,20663,20906,19174,19393,"Alice pensait que c'etait la la bonne maniere d'interpeller une souris. Pareille chose ne lui etait jamais arrivee, mais elle se souvenait d'avoir vu dans la grammaire latine de son frere : -- << La souris, de la souris, a la souris, o souris. ","Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother's Latin Grammar, ""A mouse--of a mouse--to a mouse--a mouse--O mouse!""",son,20841.0,20844.0
exp,exp_name,the mouse,The Mouse,19396,19405,18,51,2,M_419,"""The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.""","'La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.'",169,aligned,20911,21031,19396,19517,"La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.
","The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.
",La Souris,20911.0,20920.0
booknlp,COREF,40,her,19416,19419,0,51,2,M_420,"""The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.""","'La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.'",169,aligned,20911,21031,19396,19517,"La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.
","The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.
",elle,21015.0,21019.0
booknlp,COREF,40,her,19456,19459,0,51,2,M_421,"""The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.""","'La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.'",169,aligned,20911,21031,19396,19517,"La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.
","The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.
",elle,21015.0,21019.0
booknlp,COREF,26,its,19480,19483,18,51,2,M_422,"""The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.""","'La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.'",169,aligned,20911,21031,19396,19517,"La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.
","The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.
",,,
booknlp,COREF,26,it,19501,19503,18,51,2,M_423,"""The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.""","'La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.'",169,aligned,20911,21031,19396,19517,"La Souris la regarda d'un air inquisiteur ; Alice crut meme la voir cligner un de ses petits yeux, mais elle ne dit mot.
","The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.
",elle,21015.0,21019.0
booknlp,COREF,40,she,19758,19761,0,52,2,M_429,"""So she began again: ""O? ~~~ est ma chatte?"" which was the first sentence in her French lesson-book.""",'Je vais essayer de lui parler italien : << Dove e il mio gatto ? >> >> C'etaient la les premiers mots de son livre de dialogues.',171,aligned,21161,21289,19755,19850,Je vais essayer de lui parler italien : << Dove e il mio gatto ? >> >> C'etaient la les premiers mots de son livre de dialogues. ,"So she began again: ""O? est ma chatte?"" which was the first sentence in her French lesson-book. ",,,
booknlp,COREF,40,her,19827,19830,0,52,2,M_430,"""So she began again: ""O? ~~~ est ma chatte?"" which was the first sentence in her French lesson-book.""",'Je vais essayer de lui parler italien : << Dove e il mio gatto ? >> >> C'etaient la les premiers mots de son livre de dialogues.',171,aligned,21161,21289,19755,19850,Je vais essayer de lui parler italien : << Dove e il mio gatto ? >> >> C'etaient la les premiers mots de son livre de dialogues. ,"So she began again: ""O? est ma chatte?"" which was the first sentence in her French lesson-book. ",son,21266.0,21269.0
exp,exp_name,the mouse,The Mouse,19851,19860,18,52,2,M_431,"""The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.""","'La Souris fit un bond hors de l'eau, et parut trembler de tous ses membres.'",172,aligned,21290,21365,19851,19940,"La Souris fit un bond hors de l'eau, et parut trembler de tous ses membres. ","The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright. ",La Souris,21290.0,21299.0
booknlp,COREF,40,I,19946,19947,0,52,2,M_432,"""Oh, I beg your pardon!""",<< Oh ! ~~~ mille pardons !,174,aligned,21369,21389,19942,19964,Oh ! mille pardons ! ,"Oh, I beg your pardon!""",,,
pdnc,qID,Q34-0,your,19952,19956,18,52,2,M_433,"""Oh, I beg your pardon!""",<< Oh ! ~~~ mille pardons !,174,aligned,21369,21389,19942,19964,Oh ! mille pardons ! ,"Oh, I beg your pardon!""",,,
exp,exp_name,alice,Alice,19972,19977,0,52,2,M_434,"cried Alice hastily, afraid that she had hurt the poor animal's feelings.",">> s'ecria vivement Alice, qui craignait d'avoir fait de la peine au pauvre animal.",175,aligned,21393,21473,19966,20039,"s'ecria vivement Alice, qui craignait d'avoir fait de la peine au pauvre animal. ","cried Alice hastily, afraid that she had hurt the poor animal's feelings. ",,,
booknlp,COREF,40,she,19999,20002,0,52,2,M_435,"cried Alice hastily, afraid that she had hurt the poor animal's feelings.",">> s'ecria vivement Alice, qui craignait d'avoir fait de la peine au pauvre animal.",175,aligned,21393,21473,19966,20039,"s'ecria vivement Alice, qui craignait d'avoir fait de la peine au pauvre animal. ","cried Alice hastily, afraid that she had hurt the poor animal's feelings. ",,,
booknlp,COREF,40,I,20041,20042,0,52,2,M_436,"""I quite forgot you didn't like cats.""","""<< J'oubliais que vous n'aimez pas les chats. >>""",176,aligned,21477,21519,20041,20077,J'oubliais que vous n'aimez pas les chats. ,"I quite forgot you didn't like cats.""",J',21477.0,21479.0
pdnc,qID,Q34-1,you,20056,20059,18,52,2,M_437,"""I quite forgot you didn't like cats.""","""<< J'oubliais que vous n'aimez pas les chats. >>""",176,aligned,21477,21519,20041,20077,J'oubliais que vous n'aimez pas les chats. ,"I quite forgot you didn't like cats.""",vous,21492.0,21496.0
exp,exp_name,the mouse,the Mouse,20103,20112,18,53,2,M_438,"""Not like cats!"" cried the Mouse, in a shrill, passionate voice.","""<< Aimer les chats ! >> cria la Souris d'une voix percante et colere.""",177,aligned,21526,21592,20081,20144,Aimer les chats ! >> cria la Souris d'une voix percante et colere. ,"Not like cats!"" cried the Mouse, in a shrill, passionate voice. ",la Souris,21552.0,21561.0
pdnc,qID,Q35-1,you,20153,20156,0,53,2,M_439,"""Would _you_ like cats if you were me?""","""<< Et vous, les aimeriez-vous si vous etiez a ma place ? >>""",178,aligned,21596,21649,20146,20183,"Et vous, les aimeriez-vous si vous etiez a ma place ? ","Would _you_ like cats if you were me?""",,,
