eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"The pearls were evidently of great value, and he was averse to part with them, for, between friends, my brother was himself a little inclined to my father's fault.","Les perles avaient evidemment une valeur considerable, et lui ne voulait pas s'en separer, car, entre nous, Bartholome a un peu herite du vice paternel.",560,aligned,61329,61481,-1,-1,"Les perles avaient evidemment une valeur considerable, et lui ne voulait pas s'en separer, car, entre nous, Bartholome a un peu herite du vice paternel. ",
"At the short account of her father's death Miss Morstan had turned deadly white, and for a moment I feared that she was about to faint.","Aux quelques mots qui avaient eu trait a la mort de son pere, miss Morstan etait devenue bleme et j'eus meme, un instant, la crainte qu'elle ne se trouvat mal.",574,aligned,59784,59943,-1,-1,"Aux quelques mots qui avaient eu trait a la mort de son pere, miss Morstan etait devenue bleme et j'eus meme, un instant, la crainte qu'elle ne se trouvat mal. ",
Le mauvais gout mene au crime.,"'Les Francais, qui ont vraiment une facon charmante de dire les choses, affirment que << le mauvais gout mene au crime >>.",578,aligned,62356,62477,-1,-1,"Les Francais, qui ont vraiment une facon charmante de dire les choses, affirment que << le mauvais gout mene au crime >>. ",
"In the centre stood the treasure-chest, resting upon two rafters.",(No direct equivalent in text),605,not aligned,-1,-1,55852,55917,,"In the centre stood the treasure-chest, resting upon two rafters. "
"""He ain't been out o his room to-day, Mr. Thaddeus, and I have no orders. You know very well that I must stick to regulations. I can let you in, but your friends must just stop where they are.""","""-- Il n'est pas sorti de sa chambre de toute la journee, monsieur Thaddeus, et, je vous le repete, je n'ai pas d'ordre. Vous savez qu'il m'est impossible de violer ma consigne. Vous, vous pouvez entrer si vous voulez, mais vos amis resteront ou ils sont.""",635,aligned,68652,68906,-1,-1,"-- Il n'est pas sorti de sa chambre de toute la journee, monsieur Thaddeus, et, je vous le repete, je n'ai pas d'ordre. Vous savez qu'il m'est impossible de violer ma consigne. Vous, vous pouvez entrer si vous voulez, mais vos amis resteront ou ils sont. ",
That is Bartholomew's window up there where the moonshine strikes.,"Voici la fenetre de Bartholome, la, de ce cote, eclairee par la lune.",665,aligned,71712,71781,-1,-1,"Voici la fenetre de Bartholome, la, de ce cote, eclairee par la lune. ",
"""Ah, that is the housekeeper's room.","-- Ah ! c'est la chambre de la femme de charge,",666,aligned,71944,71991,-1,-1,"-- Ah ! c'est la chambre de la femme de charge, ",
"We all followed him into the housekeeper's room, which stood upon the left-hand side of the passage.",>> Nous le suivimes tous dans la chambre de la femme de charge situee a gauche dans le corridor.,695,aligned,75284,75377,-1,-1,Nous le suivimes tous dans la chambre de la femme de charge situee a gauche dans le corridor. ,
"Our companion patted her thin, work-worn hand, and murmured some few words of kindly womanly comfort which brought the colour back into the other's bloodless cheeks.","Notre compagne caressa cette main emaciee qui portait les marques du travail journalier, tout en murmurant ce que son coeur de femme lui suggerait pour reconforter la pauvre creature.",699,aligned,75712,75895,-1,-1,"Notre compagne caressa cette main emaciee qui portait les marques du travail journalier, tout en murmurant ce que son coeur de femme lui suggerait pour reconforter la pauvre creature. ",
"""In God's name, what does it all mean?"" I asked.","<< Au nom du ciel, que signifie tout ceci ? m'ecriai-je.",745,aligned,80879,80932,-1,-1,"Au nom du ciel, que signifie tout ceci ? m'ecriai-je.
",
We had almost forgotten our companion's presence since we entered the chamber.,"'Nous avions a peu pres oublie la presence de notre compagnon, depuis que nous etions entres dans la chambre.'",757,aligned,81748,81856,-1,-1,"Nous avions a peu pres oublie la presence de notre compagnon, depuis que nous etions entres dans la chambre. ",
"But you don't think so, gentlemen?","Mais vous ne le croyez pas, vous, messieurs !",765,aligned,82473,82518,-1,-1,"Mais vous ne le croyez pas, vous, messieurs ! ",
Surely you don't think that it was I?,"N'est-ce pas, vous ne me soupconnez pas ?",770,aligned,82519,82560,-1,-1,"N'est-ce pas, vous ne me soupconnez pas ? ",
I reiterated.,(No direct equivalent in text),829,not aligned,-1,-1,74732,74745,,I reiterated. 
"""It will be clear enough to you soon,"" he said, in an off-hand way.","'-- Bah ! ~~~ elle s'imposera bientot a vous, reprit-il d'un ton leger. --",859,aligned,-1,-1,77566,77632,,"It will be clear enough to you soon,"" he said, in an off-hand way. "
"""The carboy has been cracked, You see, and the stuff has leaked out.""",(No direct equivalent in text),865,not aligned,-1,-1,78565,78632,,"The carboy has been cracked, You see, and the stuff has leaked out."""
"""""What then?"""" I asked.""","""-- Eh bien ! --""",866,aligned,91435,91451,-1,-1,"-- Eh bien !

-- ",
"""""Why, we have got him, that's all,"" said he.""","""-- Eh bien ! nous le tenons, voila tout.""",867,aligned,91449,91489,-1,-1,"-- Eh bien ! nous le tenons, voila tout. ",
"""Why, of course I do!"" he wheezed.",(No direct equivalent in text),892,not aligned,-1,-1,81243,81276,,"Why, of course I do!"" he wheezed. "
"""Here's a pretty business! But who are all these? Why, the house seems to be as full as a rabbit-warren!""","""Mais qui diable est la ? Ah ca ! cette maison est bourree comme un terrier de lapins.""",893,aligned,94209,94294,-1,-1,"Mais qui diable est la ? Ah ca ! cette maison est bourree comme un terrier de lapins.
",
"""Here's a business!"" he cried, in a muffled, husky voice.","""En voila une affaire, s'ecria ce gros homme d'une voix rude et enrouee, en voila une belle affaire !""",894,aligned,94108,94208,-1,-1,"En voila une affaire, s'ecria ce gros homme d'une voix rude et enrouee, en voila une belle affaire ! ",
"""It's Mr. Sherlock Holmes, the theorist. Remember you! I'll never forget how you lectured us all on causes and inferences and effects in the Bishopgate jewel case.""","""Si je vous reconnais ! Ah ! je n'oublierai jamais le cours que vous nous avez fait sur les causes, les effets, les deductions et tout le tremblement, dans l'affaire des bijoux de Bishopgate.""",895,aligned,94481,94671,-1,-1,"Si je vous reconnais ! Ah ! je n'oublierai jamais le cours que vous nous avez fait sur les causes, les effets, les deductions et tout le tremblement, dans l'affaire des bijoux de Bishopgate. ",
Never be ashamed to own up.,(No direct equivalent in text),907,not aligned,-1,-1,81619,81646,,Never be ashamed to own up. 
So much also we know.,(No direct equivalent in text),921,not aligned,-1,-1,82947,82968,,So much also we know. 
"""I arrest you in the Queen's name as being concerned in the death of your brother.""","' Car, au nom de la Reine, je vous arrete sous l'inculpation du meurtre commis sur la personne de votre frere. '",940,aligned,99191,99299,-1,-1,"Car, au nom de la Reine, je vous arrete sous l'inculpation du meurtre commis sur la personne de votre frere.
",
"asked Athelney Jones, in a sneering voice, but impressed none the less, as I could easily see, by the precision of the other's manner.","-- Ah, il a un compagnon >>, interrompit Athelney Jones en ricanant, quoiqu'il fut facile de voir l'impression produite sur lui par le ton assure d'Holmes.",958,aligned,100585,100740,-1,-1,"-- Ah, il a un compagnon >>, interrompit Athelney Jones en ricanant, quoiqu'il fut facile de voir l'impression produite sur lui par le ton assure d'Holmes.
",
"""We shall work the case out independently, and leave this fellow Jones to exult over any mare's-nest which he may choose to construct.""",'nous travaillerons pour notre compte et nous laisserons ce brave Jones exulter en presence de toutes les chimeres qu'il se forge.',973,aligned,101905,102034,-1,-1,nous travaillerons pour notre compte et nous laisserons ce brave Jones exulter en presence de toutes les chimeres qu'il se forge. ,
"""When you have dropped Miss Morstan I wish you to go on to No. 3, Pinchin Lane, down near the water's edge at Lambeth.""","'Quand vous aurez ramene miss Morstan, je voudrais que vous alliez jusqu'a Pinchin Lane, no 3. C'est sur le bord de l'eau, dans le quartier de Lambeth.'",974,aligned,102035,102185,-1,-1,"Quand vous aurez ramene miss Morstan, je voudrais que vous alliez jusqu'a Pinchin Lane, no 3. C'est sur le bord de l'eau, dans le quartier de Lambeth. ",
"""The third house on the right-hand side is a bird-stuffer's: Sherman is the name.""",'La troisieme maison sur la droite est celle d'un empailleur nomme Sherman.',975,aligned,102186,102260,-1,-1,La troisieme maison sur la droite est celle d'un empailleur nomme Sherman. ,
"""I would rather have Toby's help than that of the whole detective force of London.""",'Je prefere son assistance a celle de toute la police de Londres.',981,aligned,102611,102675,-1,-1,"Je prefere son assistance a celle de toute la police de Londres.
",
"""_Wir sind gewohnt das die Menschen verh hnen was sie nicht verstehen._ Goethe is always pithy.""","'Mais Goethe, avec sa grande connaissance des hommes, n'a-t-il pas dit : << Wir sind gewohnt dass die Menschen verhohnen, was sie nicht verstehen ! [2] >> Goethe est toujours plein de profondeur.'",989,aligned,-1,-1,88315,88410,,"_Wir sind gewohnt das die Menschen verh hnen was sie nicht verstehen._  Goethe is always pithy."""
"""I'm delighted to have them, for the chances are that they are all he has.""","""Mais je suis ravi de les avoir, car il est probable que notre individu n'en possede pas d'autres et nous aurons ainsi moins de chances d'en sentir une nous arriver sous la peau.""",1104,aligned,115972,116149,-1,-1,"Mais je suis ravi de les avoir, car il est probable que notre individu n'en possede pas d'autres et nous aurons ainsi moins de chances d'en sentir une nous arriver sous la peau. ",
"""Look out that you don't prick yourself.""","""Prenez bien garde de ne pas vous piquer.""",1105,aligned,115931,115971,-1,-1,Prenez bien garde de ne pas vous piquer. ,
"Holmes then threw the handkerchief to a distance, fastened a stout cord to the mongrel's collar, and led him to the foot of the water-barrel.","'Holmes jeta alors son mouchoir au loin, attacha une forte corde au collier du chien et le mena au pied du tonneau sous la gouttiere.'",1109,aligned,116747,116879,-1,-1,"Holmes jeta alors son mouchoir au loin, attacha une forte corde au collier du chien et le mena au pied du tonneau sous la gouttiere. ",
"He pushed the creasote handkerchief under the dog's nose, while the creature stood with its fluffy legs separated, and with a most comical cock to its head, like a connoisseur sniffing the _bouquet_ of a famous vintage.","'Tout en parlant, il mettait le mouchoir imbibe de goudron sous le nez de l'animal, tandis que celui-ci, les pattes ecartees et raidies, le reniflait avec l'expression la plus comique, comme un connaisseur l'aurait fait du bouquet d'un cru fameux.'",1110,aligned,116500,116746,-1,-1,"Tout en parlant, il mettait le mouchoir imbibe de goudron sous le nez de l'animal, tandis que celui-ci, les pattes ecartees et raidies, le reniflait avec l'expression la plus comique, comme un connaisseur l'aurait fait du bouquet d'un cru fameux. ",
"""He had signed it in behalf of himself and his associates, the sign of the four, as he somewhat dramatically called it.""",(No direct equivalent in text),1141,not aligned,-1,-1,102254,102372,,"He had signed it in behalf of himself and his associates, the sign of the four, as he somewhat dramatically called it. "
"""It is all patent and above-board.""",(No direct equivalent in text),1143,not aligned,-1,-1,101975,102008,,It is all patent and above-board. 
"""I don t wish to be theatrical.""",(No direct equivalent in text),1144,not aligned,-1,-1,101944,101974,,I don t wish to be theatrical. 
His hairiness was the one point which impressed itself upon Thaddeus Sholto when he saw him at the window.,(No direct equivalent in text),1187,not aligned,-1,-1,106950,107056,,His hairiness was the one point which impressed itself upon Thaddeus Sholto when he saw him at the window. 
I don't know that there is anything else.,Je ne vois guere autre chose a ajouter.,1194,aligned,126008,126047,-1,-1,"Je ne vois guere autre chose a ajouter.
",
It is that the chief proof of man's real greatness lies in his perception of his own smallness.,"La principale preuve de la grandeur reelle de l'homme, dit-il, reside dans la conscience qu'il a de sa propre faiblesse.",1203,aligned,127092,127212,-1,-1,"La principale preuve de la grandeur reelle de l'homme, dit-il, reside dans la conscience qu'il a de sa propre faiblesse. ",
"""I'd like a shilling,"" said he.","Un schelling, dit-il.",1272,aligned,134643,134664,-1,-1,"Un schelling, dit-il.
",
"""I'd like two shillings better,"" the prodigy answered, after some thought.","J'aimerais mieux deux schellings, repondit le petit phenomene apres une nouvelle reflexion.",1275,aligned,-1,-1,-1,-1,,
How could you possibly tell that it was the wooden-legged man who came in the night? I don't quite understand how you can be so sure.,"Puisque c'etait au milieu de la nuit, comment savez-vous que c'est bien l'homme a la jambe de bois qui est venu ? Vous ne pouvez en etre sure.",1299,aligned,136835,136977,-1,-1,"Puisque c'etait au milieu de la nuit, comment savez-vous que c'est bien l'homme a la jambe de bois qui est venu ? Vous ne pouvez en etre sure.
",
"""Couldn't say, I am sure, sir.""","""-- Je ne saurais vraiment le dire, monsieur, je n'ai entendu personne d'autre.""",1302,aligned,137419,137497,-1,-1,"-- Je ne saurais vraiment le dire, monsieur, je n'ai entendu personne d'autre.
",
"She's been fresh painted, black with two red streaks.",Elle vient d'etre fraichement repeinte en noir avec deux raies rouges.,1308,aligned,137898,137968,-1,-1,"Elle vient d'etre fraichement repeinte en noir avec deux raies rouges.
",
She's as trim a little thing as any on the river.,C'est la petite merveille la mieux construite de toute la Tamise.,1310,aligned,137832,137897,-1,-1,C'est la petite merveille la mieux construite de toute la Tamise. ,
"""What do you think of it?""",(No direct equivalent in text),1372,not aligned,-1,-1,123437,123461,,"What do you think of it?"""
"""Yes, guv'nor,"" said Wiggins.","'-- Oui, patron, dit Wiggins.'",1391,aligned,147673,147701,-1,-1,"-- Oui, patron, dit Wiggins.
",
"""The old scale of pay, and a guinea to the boy who finds the boat. Here's a day in advance. Now off you go!""","'Je vous paierai au tarif habituel et celui qui decouvrira le bateau touchera une guinee. Voici une journee d'avance, et maintenant decampez.'",1392,aligned,147706,147846,-1,-1,"Je vous paierai au tarif habituel et celui qui decouvrira le bateau touchera une guinee. Voici une journee d'avance, et maintenant decampez. ",
"""The Hindoo proper has long and thin feet.""",(No direct equivalent in text),1417,not aligned,-1,-1,127026,127067,,The Hindoo proper has long and thin feet. 
"""They are from a blow-pipe.""",(No direct equivalent in text),1419,not aligned,-1,-1,127250,127276,,They are from a blow-pipe. 
"""Hum! hum! What s all this? Moist climate, coral reefs, sharks, Port Blair, convict-barracks, Rutland Island, cottonwoods""",(This is included in the previous French sentence),1424,aligned,-1,-1,127652,127772,,"Hum! hum! What s all this? Moist climate, coral reefs, sharks, Port Blair, convict-barracks, Rutland Island, cottonwoods "
"""It may be looked upon as the very latest authority.""",(No direct equivalent in text),1426,not aligned,-1,-1,127496,127547,,It may be looked upon as the very latest authority. 
"Their feet and hands, however, are remarkably small.",(No direct equivalent in text),1431,not aligned,-1,-1,128449,128501,,"Their feet and hands, however, are remarkably small. "
"""Mrs. Forrester, too, was full of curiosity.""",(No direct equivalent in text),1472,not aligned,-1,-1,131787,131830,,"Mrs. Forrester, too, was full of curiosity. "
"Thus, although I spoke of Mr. Sholto's death, I said nothing of the exact manner and method of it.","Ainsi, a propos de l'assassinat de Mr Sholto, je ne dis rien des circonstances qui l'avaient accompagne et de la maniere dont il avait ete accompli.",1476,aligned,155239,155387,-1,-1,"Ainsi, a propos de l'assassinat de Mr Sholto, je ne dis rien des circonstances qui l'avaient accompagne et de la maniere dont il avait ete accompli. ",
"""Why, Mary, your fortune depends upon the issue of this search. I don't think that you are nearly excited enough. Just imagine what it must be to be so rich, and to have the world at your feet!""","'-- Mais, Mary, toute votre fortune depend de la tournure que prendront les evenements. Je ne comprends pas que vous restiez aussi indifferente ? Pensez donc combien cela doit etre agreable d'etre aussi riche et de voir le monde entier a ses pieds.'",1482,aligned,155844,156091,-1,-1,"-- Mais, Mary, toute votre fortune depend de la tournure que prendront les evenements. Je ne comprends pas que vous restiez aussi indifferente ? Pensez donc combien cela doit etre agreable d'etre aussi riche et de voir le monde entier a ses pieds. ",
"""I shall have news of some sort or other before I get back.""",(No direct equivalent in text),1538,not aligned,-1,-1,137517,137575,,"I shall have news of some sort or other before I get back."""
"When I looked back on the long chain of curious circumstances, many of them trivial in themselves, but all tending in the same direction, I could not disguise from myself that even if Holmes's explanation were incorrect the true theory must be equally _outr_ and startling.","En me rememorant l'enchainement des faits, en voyant combien les details les plus insignifiants en apparence concouraient a renforcer sa these, j'etais force d'avouer que si celle d'Holmes etait fausse, la veritable devait, en tout cas, etre tout aussi etrange, tout aussi extraordinaire.",1559,aligned,164735,165023,-1,-1,"En me rememorant l'enchainement des faits, en voyant combien les details les plus insignifiants en apparence concouraient a renforcer sa these, j'etais force d'avouer que si celle d'Holmes etait fausse, la veritable devait, en tout cas, etre tout aussi etrange, tout aussi extraordinaire.
",
"""Was it about Mordecai Smith's boat?""",'Est-ce a propos du bateau de Mordecai Smith ?',1614,aligned,169659,169704,-1,-1,"Est-ce a propos du bateau de Mordecai Smith ?
",
"If Mr. Holmes ain't here, then Mr. Holmes must find it all out for himself.","Puisque M. Holmes n'est pas la, tant pis pour M. Holmes.",1617,aligned,170138,170194,-1,-1,"Puisque M. Holmes n'est pas la, tant pis pour M. Holmes. ",
"I don't care about the look of either of you, and I won't tell a word.","D'ailleurs vos figures ne me reviennent pas, et je ne veux rien vous dire.",1618,aligned,170226,170300,-1,-1,"D'ailleurs vos figures ne me reviennent pas, et je ne veux rien vous dire. ",
Qu'il se débrouille tout seul (No direct equivalent in text),Qu'il se debrouille tout seul.,1621,aligned,170195,170225,-1,-1,Qu'il se debrouille tout seul. ,
"Suddenly, however, Holmes' voice broke in upon us.",Tout a coup la voix de Holmes se fit entendre :,1632,aligned,171358,171405,-1,-1,"Tout a coup la voix de Holmes se fit entendre :
",
"""He appeared to be in a state of nervous exaltation. ~~~ I have never known him so brilliant.""",(No direct equivalent in text),1689,not aligned,-1,-1,149280,149368,,He appeared to be in a state of nervous exaltation. I have never known him so brilliant. 
"""To the Tower. Tell them to stop opposite Jacobson's Yard.""",'-- A la Tour ; dites-leur de stopper en face des chantiers de Jacobson.',1714,aligned,177603,177674,-1,-1,-- A la Tour ; dites-leur de stopper en face des chantiers de Jacobson. ,
"'That was the balance of probability, at any rate.""'",(No direct equivalent in text),1732,not aligned,-1,-1,152543,152592,,"That was the balance of probability, at any rate."""
'That is usually a product of higher education.',(No direct equivalent in text),1735,not aligned,-1,-1,152223,152269,,That is usually a product of higher education. 
"There ain't naught amiss with her rudder, said the foreman.","<< Et il n'y a rien a faire a ce gouvernail, me dit le contremaitre.",1762,aligned,182945,183010,-1,-1,"Et il n'y a rien a faire a ce gouvernail, me dit le contremaitre. ",
"Some one calls him a soul concealed in an animal, I suggested.","Quelqu'un l'a defini ; une ame renfermee dans l'enveloppe d'un animal, suggerai-je.",1792,aligned,186556,186639,-1,-1,"Quelqu'un l'a defini ; une ame renfermee dans l'enveloppe d'un animal, suggerai-je.
",
We must stay where we are.,Il faut donc rester ou nous sommes.,1796,aligned,-1,-1,157984,158010,,We must stay where we are. 
"Winwood Reade is good upon the subject, said Holmes.","Winwood Read a dit d'excellentes choses a ce sujet, reprit Holmes.",1802,aligned,186644,186710,-1,-1,"Winwood Read a dit d'excellentes choses a ce sujet, reprit Holmes. ",
Holmes smiled at it and shrugged his shoulders in his easy fashion.,Holmes sourit en le regardant et haussa les epaules de l'air indifferent qui lui etait habituel.,1884,aligned,196734,196830,-1,-1,Holmes sourit en le regardant et haussa les epaules de l'air indifferent qui lui etait habituel. ,
"""I don't believe that I can swing over the job.""",Je ne puis guere eviter mon sort maintenant.,1897,aligned,198215,198259,-1,-1,Je ne puis guere eviter mon sort maintenant. ,
"""Pity we didn't take the other alive; but there was no choice.""",'Quel dommage que nous n'ayons pu avoir l'autre vivant ! Mais il n'y a vraiment pas en moyen.',1923,aligned,201597,201689,-1,-1,Quel dommage que nous n'ayons pu avoir l'autre vivant ! Mais il n'y a vraiment pas en moyen. ,
Miss Morstan was sitting by the open window.,(No direct equivalent in text),1955,not aligned,-1,-1,-1,-1,,
A quarter of an hour's drive brought us to Mrs. Cecil Forrester's.,Un quart d'heure plus tard nous etions chez Mrs Cecil Forrester.,1960,aligned,204148,204212,-1,-1,Un quart d'heure plus tard nous etions chez Mrs Cecil Forrester. ,
"""Half of it is yours and half is Thaddeus Sholto's.""","""La moitie vous appartient, l'autre revient a Thaddeus Sholto.""",1973,aligned,205906,205967,-1,-1,"La moitie vous appartient, l'autre revient a Thaddeus Sholto. ",
"I ve had ups in my life, and I ve had downs, but I ve learned not to cry over spilled milk.",(No direct equivalent in text),2044,not aligned,-1,-1,181213,181304,,"I ve had ups in my life, and I ve had downs, but I ve learned not to cry over spilled milk."""
"However, there s no good grieving over it.",(No direct equivalent in text),2045,not aligned,-1,-1,181170,181212,,"However, there s no good grieving over it. "
There are no rupees for you this journey.,(No direct equivalent in text),2053,not aligned,-1,-1,180577,180618,,"There are no rupees for you this journey."""
"What I say to you is God's truth, every word of it.",Je le jure par le Dieu tout-puissant.,2081,aligned,216275,216312,-1,-1,Je le jure par le Dieu tout-puissant. ,
"To make a long story short, the colonel recommended me strongly for the post.","Enfin, pour tout resumer en quelques mots, le colonel me recommanda chaudement a Mr White.",2096,aligned,218553,218643,-1,-1,"Enfin, pour tout resumer en quelques mots, le colonel me recommanda chaudement a Mr White. ",
"What I had to do was to ride over the plantation, to keep an eye on the men as they worked, and to report the idlers.",(No direct equivalent in text),2099,not aligned,-1,-1,185439,185556,,"What I had to do was to ride over the plantation, to keep an eye on the men as they worked, and to report the idlers. "
"He happened to be a friend of our colonel's, who had taken an interest in me since the accident.","Or, c'etait un ami de mon colonel, et celui-ci s'etait fort interesse a moi depuis mon accident.",2100,aligned,218456,218552,-1,-1,"Or, c'etait un ami de mon colonel, et celui-ci s'etait fort interesse a moi depuis mon accident. ",
I don't know if any of you gentlemen have ever read or heard anything of that old fort.,"Je ne sais, messieurs, si vous avez entendu parler de ce fort si curieux.",2137,aligned,224174,224247,-1,-1,"Je ne sais, messieurs, si vous avez entendu parler de ce fort si curieux. ",
It was dreary work standing in the gateway hour after hour in such weather.,(No direct equivalent in text),2159,not aligned,-1,-1,192693,192768,,It was dreary work standing in the gateway hour after hour in such weather. 
I could read it in the fellow's brown eyes.,(No direct equivalent in text),2167,not aligned,-1,-1,-1,-1,,
"The man who held me seemed to know my thoughts; for, even as I braced myself to it, he whispered, Don't make a noise.","L'homme qui me tenait sembla lire en moi, car a ce moment il murmura a mon oreille : << Pas un mot !",2169,aligned,228776,228876,-1,-1,"L'homme qui me tenait sembla lire en moi, car a ce moment il murmura a mon oreille : << Pas un mot ! ",
Mahomet Singh was left to guard the door.,(No direct equivalent in text),2300,not aligned,-1,-1,205867,205908,,Mahomet Singh was left to guard the door. 
"This second man was ordered never to let Achmet out of his sight, and he followed him like his shadow.",(No direct equivalent in text),2337,not aligned,-1,-1,209483,209585,,"This second man was ordered never to let Achmet out of his sight, and he followed him like his shadow. "
"""These prison-chaps had done little else than play cards ever since they had been at the Andamans, and they knew each other's game to a point, while the others just played to pass the time and threw their cards down anyhow.""","""Les gens du service penitentiaire n'avaient guere fait autre chose que jouer aux cartes depuis leur arrivee dans l'archipel Andaman. Ils connaissaient a fond leur jeu reciproque, toutes les malices qu'ils employaient, et mettaient a profit cette experience, tandis que les autres jouaient simplement pour passer le temps et jetaient leurs cartes comme elles venaient.""",2359,aligned,251262,251629,-1,-1,"Les gens du service penitentiaire n'avaient guere fait autre chose que jouer aux cartes depuis leur arrivee dans l'archipel Andaman. Ils connaissaient a fond leur jeu reciproque, toutes les malices qu'ils employaient, et mettaient a profit cette experience, tandis que les autres jouaient simplement pour passer le temps et jetaient leurs cartes comme elles venaient. ",
